loss;elapsed_time;iteration
0.103567;45.60;0
0.094917;44.73;0
0.086827;44.84;0
0.076357;44.53;0
0.066007;44.43;0
0.058089;44.86;0
0.050549;44.61;0
0.042605;44.60;0
0.036166;44.82;0
0.031022;44.68;0
0.027724;44.65;0
0.025085;44.63;0
0.022846;44.61;0
0.021141;44.58;0
0.020132;43.81;0
0.018950;43.82;0
0.017803;43.90;0
0.016662;43.90;0
0.015707;43.98;0
0.014802;43.72;0
0.013952;43.85;0
0.013002;43.71;0
0.012463;43.81;0
0.011894;43.75;0
0.011490;43.52;0
0.010936;43.90;0
0.010243;44.06;0
0.009647;44.09;0
0.008876;43.84;0
0.007805;43.76;0
0.007119;43.68;0
0.006471;43.59;0
0.005950;43.42;0
0.005584;43.35;0
0.005269;43.44;0
0.004969;43.27;0
0.004692;43.44;0
0.004497;43.49;0
0.004347;43.53;0
0.004206;43.70;0
0.004038;43.68;0
0.003882;43.85;0
0.003762;43.94;0
0.003655;43.56;0
0.003544;43.60;0
0.003450;43.71;0
0.003378;43.91;0
0.003276;43.97;0
0.003177;44.19;0
0.003101;43.42;0
0.003022;43.57;0
0.002949;43.61;0
0.002866;43.61;0
0.002758;43.54;0
0.002704;43.76;0
0.002688;43.70;0
0.002670;43.51;0
0.002637;43.69;0
0.002597;43.82;0
0.002556;43.70;0
0.002524;43.60;0
0.002489;43.73;0
0.002461;43.85;0
0.002428;43.79;0
0.002390;43.86;0
0.002351;43.91;0
0.002317;43.64;0
0.002293;43.70;0
0.002274;43.94;0
0.002254;43.65;0
0.002237;43.33;0
0.002219;43.51;0
0.002204;43.73;0
0.002190;43.61;0
0.002180;43.78;0
0.002162;43.81;0
0.002142;43.88;0
0.002126;43.65;0
0.002116;43.55;0
0.002108;43.50;0
0.002089;44.13;0
0.002082;44.14;0
0.002066;44.11;0
0.002056;44.08;0
0.002048;43.48;0
0.002042;43.42;0
0.002037;43.21;0
0.002033;43.47;0
0.002029;43.33;0
0.002027;44.12;0
0.002025;43.40;0
0.002023;43.52;0
0.002021;44.05;0
0.002019;43.96;0
0.002018;43.85;0
0.002016;44.08;0
0.002013;43.40;0
0.002011;43.60;0
0.002010;43.71;0
0.002009;43.77;0
0.165573;43.14;1
0.143660;43.02;1
0.104261;42.95;1
0.076066;43.76;1
0.058378;43.23;1
0.048169;42.99;1
0.042076;43.15;1
0.037541;43.09;1
0.033527;42.98;1
0.029633;42.96;1
0.025608;42.94;1
0.021444;43.09;1
0.017430;42.97;1
0.013935;42.89;1
0.011342;42.91;1
0.009482;42.91;1
0.008157;42.78;1
0.007153;42.91;1
0.006330;42.87;1
0.005658;42.95;1
0.005131;43.27;1
0.004746;43.23;1
0.004466;42.84;1
0.004256;42.93;1
0.004073;42.80;1
0.003886;42.78;1
0.003697;42.76;1
0.003534;42.90;1
0.003407;42.95;1
0.003313;42.94;1
0.003253;43.03;1
0.003209;43.09;1
0.003179;43.00;1
0.003156;42.90;1
0.003121;42.97;1
0.003097;42.91;1
0.003082;42.84;1
0.003059;42.94;1
0.003021;42.90;1
0.002988;42.96;1
0.002925;43.05;1
0.002834;43.02;1
0.002725;42.95;1
0.002602;42.84;1
0.002471;42.95;1
0.002326;43.05;1
0.002216;42.96;1
0.002163;43.13;1
0.002136;43.14;1
0.002115;43.46;1
0.002085;44.65;1
0.002084;44.91;1
0.002084;43.70;1
0.002083;43.21;1
0.002082;43.25;1
0.002082;43.24;1
0.002081;43.01;1
0.002081;43.22;1
0.002081;43.37;1
0.002080;43.09;1
0.002080;43.12;1
0.002080;43.09;1
0.002079;43.13;1
0.002079;43.12;1
0.002079;43.04;1
0.002079;43.29;1
0.002079;43.03;1
0.002078;43.00;1
0.002078;43.12;1
0.002078;43.32;1
0.002078;43.31;1
0.002078;43.11;1
0.002078;43.05;1
0.002077;43.11;1
0.002077;43.16;1
0.002077;43.56;1
0.002077;43.01;1
0.002076;43.01;1
0.002076;43.13;1
0.002076;43.24;1
0.002076;43.00;1
0.002075;43.19;1
0.002075;43.07;1
0.002075;43.01;1
0.002075;43.17;1
0.002075;43.11;1
0.002075;43.03;1
0.002074;43.13;1
0.002074;43.17;1
0.002074;43.07;1
0.002074;43.20;1
0.002074;42.94;1
0.002074;43.06;1
0.002074;43.04;1
0.002073;43.31;1
0.002073;43.03;1
0.002073;43.13;1
0.002073;43.06;1
0.002073;43.80;1
0.002073;43.60;1
0.002092;43.65;2
0.002082;43.25;2
0.002073;43.24;2
0.002066;43.30;2
0.002059;43.28;2
0.002053;43.35;2
0.002047;43.24;2
0.002042;43.35;2
0.002038;43.24;2
0.002035;43.27;2
0.002032;43.29;2
0.002029;43.23;2
0.002026;43.34;2
0.002024;43.18;2
0.002022;43.13;2
0.002021;43.23;2
0.002019;43.14;2
0.002018;43.33;2
0.002017;43.21;2
0.002016;43.12;2
0.002015;43.12;2
0.002014;43.07;2
0.002013;42.76;2
0.002012;42.79;2
0.002011;42.95;2
0.002011;42.97;2
0.002010;42.85;2
0.002010;42.78;2
0.002010;42.96;2
0.002009;42.96;2
0.002009;42.88;2
0.002009;43.08;2
0.002008;42.96;2
0.002008;42.90;2
0.002008;42.91;2
0.002008;42.98;2
0.002007;42.92;2
0.002007;43.08;2
0.002007;43.07;2
0.002007;42.96;2
0.002007;42.95;2
0.002007;43.15;2
0.002007;43.00;2
0.002006;42.91;2
0.002006;42.95;2
0.002006;43.01;2
0.002006;43.01;2
0.002006;43.08;2
0.002006;43.12;2
0.002006;43.11;2
0.001999;43.17;2
0.001998;43.10;2
0.001998;42.98;2
0.001998;42.78;2
0.001998;42.95;2
0.001998;42.85;2
0.001998;42.71;2
0.001998;42.81;2
0.001998;42.95;2
0.001998;43.05;2
0.001998;42.89;2
0.001998;43.20;2
0.001998;42.96;2
0.001998;42.86;2
0.001998;42.90;2
0.001998;43.11;2
0.001998;43.05;2
0.001997;43.14;2
0.001997;43.11;2
0.001997;43.03;2
0.001997;42.98;2
0.001997;42.97;2
0.001997;43.01;2
0.001997;43.08;2
0.001997;43.01;2
0.001997;42.87;2
0.001997;43.12;2
0.001997;43.07;2
0.001997;43.47;2
0.001997;43.61;2
0.001997;43.01;2
0.001997;43.93;2
0.001997;43.71;2
0.001997;42.94;2
0.001997;43.02;2
0.001997;43.04;2
0.001997;43.02;2
0.001997;42.92;2
0.001997;43.15;2
0.001997;43.09;2
0.001996;42.97;2
0.001996;43.24;2
0.001996;43.22;2
0.001996;43.17;2
0.001996;43.12;2
0.001996;43.00;2
0.001996;42.99;2
0.001996;42.97;2
0.001996;43.01;2
0.001996;42.98;2
0.002003;42.93;3
0.002003;43.40;3
0.002003;43.01;3
0.002003;43.05;3
0.002003;43.06;3
0.002003;43.22;3
0.002003;43.03;3
0.002003;43.03;3
0.002003;43.10;3
0.002003;43.13;3
0.002003;43.23;3
0.002003;43.03;3
0.002003;42.97;3
0.002003;43.25;3
0.002003;43.13;3
0.002003;43.11;3
0.002002;43.05;3
0.002002;42.99;3
0.002002;43.03;3
0.002002;43.00;3
0.002002;42.97;3
0.002002;42.93;3
0.002002;43.13;3
0.002002;43.19;3
0.002002;43.12;3
0.002002;43.09;3
0.002002;43.09;3
0.002002;43.07;3
0.002002;43.13;3
0.002002;43.06;3
0.002002;42.87;3
0.002002;43.07;3
0.002002;42.97;3
0.002002;43.14;3
0.002002;43.07;3
0.002002;43.22;3
0.002002;43.10;3
0.002002;43.03;3
0.002002;44.12;3
0.002002;42.96;3
0.002002;43.08;3
0.002002;43.16;3
0.002002;43.15;3
0.002002;43.12;3
0.002002;43.24;3
0.002002;43.06;3
0.002002;43.15;3
0.002002;42.90;3
0.002002;43.07;3
0.002002;42.89;3
0.001998;42.87;3
0.001998;42.91;3
0.001998;43.16;3
0.001998;43.20;3
0.001998;43.35;3
0.001998;43.33;3
0.001998;43.17;3
0.001998;43.25;3
0.001998;43.19;3
0.001998;43.15;3
0.001997;43.32;3
0.001997;43.07;3
0.001997;43.18;3
0.001997;43.19;3
0.001997;43.37;3
0.001997;43.25;3
0.001997;43.24;3
0.001997;43.15;3
0.001997;43.21;3
