loss;elapsed_time;iteration
0.253630;33.88;0
0.216626;33.28;0
0.182169;34.04;0
0.154169;33.31;0
0.133830;33.70;0
0.119308;34.23;0
0.107690;33.95;0
0.097057;33.77;0
0.086329;36.02;0
0.075634;34.43;0
0.066331;33.51;0
0.059366;33.89;0
0.054385;34.02;0
0.050631;34.89;0
0.047567;34.65;0
0.044889;34.61;0
0.042419;33.86;0
0.040054;34.44;0
0.037750;34.66;0
0.035512;33.90;0
0.033352;35.60;0
0.031280;33.76;0
0.029373;33.80;0
0.027733;33.86;0
0.026370;34.02;0
0.025217;33.68;0
0.024204;33.94;0
0.023274;33.57;0
0.022379;33.64;0
0.021481;34.52;0
0.020568;33.45;0
0.019699;32.90;0
0.018956;33.12;0
0.018360;33.05;0
0.017879;33.04;0
0.017475;33.07;0
0.017120;33.66;0
0.016795;32.94;0
0.016485;32.97;0
0.016179;33.13;0
0.015867;34.13;0
0.015535;32.61;0
0.015175;32.27;0
0.014780;33.51;0
0.014350;33.05;0
0.013871;32.58;0
0.013057;33.05;0
0.011471;32.50;0
0.010667;32.83;0
0.010189;33.08;0
0.009669;33.19;0
0.008665;33.34;0
0.008120;33.02;0
0.007810;33.54;0
0.007615;33.44;0
0.007479;34.82;0
0.007375;35.44;0
0.007288;32.61;0
0.007211;34.30;0
0.007143;35.33;0
0.007082;33.62;0
0.007027;32.93;0
0.006978;33.49;0
0.006934;33.55;0
0.006895;33.29;0
0.006860;34.09;0
0.006828;33.30;0
0.006800;35.83;0
0.006775;33.31;0
0.006752;34.50;0
0.006731;33.91;0
0.006711;34.34;0
0.006691;33.91;0
0.006672;34.99;0
0.006650;34.08;0
0.006619;33.55;0
0.006539;33.27;0
0.005831;33.52;0
0.005191;32.91;0
0.005071;33.20;0
0.005007;33.00;0
0.004966;33.18;0
0.004937;33.29;0
0.004915;32.92;0
0.004898;33.00;0
0.004885;33.28;0
0.004873;32.87;0
0.004864;32.76;0
0.004855;32.68;0
0.004847;32.66;0
0.004840;32.65;0
0.004833;33.00;0
0.004826;33.12;0
0.004821;32.62;0
0.004815;33.08;0
0.004811;33.65;0
0.004806;33.08;0
0.004803;35.85;0
0.004799;33.20;0
0.004796;32.78;0
0.321769;34.18;1
0.280385;36.08;1
0.245421;36.83;1
0.216992;33.86;1
0.193312;32.58;1
0.173237;40.83;1
0.155902;34.92;1
0.140804;34.78;1
0.127442;32.26;1
0.115158;32.04;1
0.103418;32.04;1
0.092557;32.07;1
0.082981;31.91;1
0.074702;32.29;1
0.067663;31.88;1
0.062036;36.62;1
0.057820;32.90;1
0.054605;33.30;1
0.051970;33.80;1
0.049665;35.89;1
0.047573;33.54;1
0.045660;35.04;1
0.043932;36.25;1
0.042388;33.73;1
0.040997;34.02;1
0.039718;33.67;1
0.038526;33.08;1
0.037406;34.45;1
0.036346;37.90;1
0.035342;35.61;1
0.034392;34.60;1
0.033493;34.41;1
0.032647;34.95;1
0.031851;35.81;1
0.031100;35.33;1
0.030389;37.47;1
0.029703;33.84;1
0.029018;32.72;1
0.028278;35.10;1
0.027326;33.77;1
0.026233;33.76;1
0.025376;33.50;1
0.024751;33.06;1
0.024272;33.65;1
0.023897;36.99;1
0.023587;36.65;1
0.023322;37.41;1
0.023088;34.83;1
0.022877;35.50;1
0.022681;35.53;1
0.021881;35.55;1
0.021710;34.23;1
0.021583;36.72;1
0.021478;37.49;1
0.021386;35.70;1
0.021303;40.73;1
0.021229;38.26;1
0.021162;42.85;1
0.021102;37.18;1
0.021051;41.45;1
0.021007;43.31;1
0.020967;34.38;1
0.020930;33.99;1
0.020897;33.89;1
0.020866;33.96;1
0.020838;35.47;1
0.020812;33.88;1
0.020790;34.13;1
0.020770;34.33;1
0.020752;34.04;1
0.020736;34.23;1
0.020723;34.05;1
0.020711;33.79;1
0.020701;33.87;1
0.020693;34.03;1
0.020685;34.09;1
0.020678;34.25;1
0.020672;34.00;1
0.020667;34.00;1
0.020662;34.06;1
0.020658;34.04;1
0.020653;34.07;1
0.020650;33.93;1
0.020646;33.90;1
0.020643;34.11;1
0.020640;34.00;1
0.020637;35.33;1
0.020634;35.39;1
0.020632;35.95;1
0.020629;43.82;1
0.020627;45.47;1
0.020625;43.14;1
0.020623;39.23;1
0.020621;42.57;1
0.020619;37.69;1
0.020618;40.05;1
0.020616;36.12;1
0.020614;37.20;1
0.020613;35.27;1
0.020611;35.03;1
0.020662;34.03;2
0.020393;35.40;2
0.020166;35.09;2
0.019948;34.74;2
0.019722;34.73;2
0.019475;34.84;2
0.019210;35.04;2
0.018936;36.41;2
0.018666;36.14;2
0.018410;34.63;2
0.018176;36.50;2
0.017972;34.85;2
0.017795;34.76;2
0.017638;36.74;2
0.017489;34.98;2
0.017343;35.62;2
0.017196;35.04;2
0.017045;40.71;2
0.016891;36.13;2
0.016733;33.91;2
0.016571;33.90;2
0.016407;34.42;2
0.016240;36.01;2
0.016070;35.28;2
0.015893;35.34;2
0.015696;36.17;2
0.015428;34.07;2
0.014814;34.41;2
0.014155;38.77;2
0.013959;36.77;2
0.013854;35.52;2
0.013783;34.98;2
0.013731;37.57;2
0.013690;35.38;2
0.013659;39.84;2
0.013633;35.07;2
0.013611;35.03;2
0.013593;36.64;2
0.013578;36.31;2
0.013565;40.19;2
0.013554;38.51;2
0.013544;39.35;2
0.013535;36.17;2
0.013528;34.65;2
0.013521;68.51;2
0.013515;98.29;2
0.013510;39.21;2
0.013505;34.91;2
0.013501;35.96;2
0.013497;34.54;2
0.013280;34.27;2
0.013271;34.26;2
0.013267;37.80;2
0.013265;34.87;2
0.013263;35.44;2
0.013261;35.96;2
0.013260;34.34;2
0.013259;35.45;2
0.013257;34.25;2
0.013257;34.33;2
0.013256;34.04;2
0.013255;34.00;2
0.013254;34.37;2
0.013254;43.73;2
0.013253;37.90;2
0.013253;34.51;2
0.013252;41.66;2
0.013252;34.60;2
0.013251;35.83;2
0.013251;34.08;2
0.013250;34.03;2
0.013250;34.64;2
0.013250;36.76;2
0.013249;33.61;2
0.013249;32.65;2
0.013249;32.59;2
0.013248;32.49;2
0.013248;37.21;2
0.013248;33.20;2
0.013248;33.48;2
0.013247;33.46;2
0.013247;33.80;2
0.013247;38.86;2
0.013247;44.05;2
0.013247;34.48;2
0.013246;36.87;2
0.013246;35.82;2
0.013246;34.46;2
0.013246;42.31;2
0.013246;36.04;2
0.013246;32.56;2
0.013246;32.40;2
0.013245;32.77;2
0.013245;46.63;2
0.013245;54.43;2
0.013245;32.89;2
0.013245;32.63;2
0.013245;36.43;2
0.013245;33.87;2
0.013245;32.57;2
0.013168;31.89;3
0.013162;31.87;3
0.013158;32.13;3
0.013156;32.11;3
0.013154;31.75;3
0.013153;32.01;3
0.013152;32.12;3
0.013150;32.07;3
0.013149;32.14;3
0.013149;31.76;3
0.013148;31.79;3
0.013147;32.10;3
0.013147;32.41;3
0.013146;32.04;3
0.013145;32.13;3
0.013145;35.75;3
0.013145;36.58;3
0.013144;35.05;3
0.013144;35.54;3
0.013143;35.26;3
0.013143;33.52;3
0.013143;34.42;3
0.013143;40.01;3
0.013142;35.90;3
0.013142;34.75;3
0.013142;35.26;3
0.013142;33.49;3
0.013141;32.25;3
0.013141;33.82;3
