loss;elapsed_time;iteration
0.339654;33.84;0
0.323838;34.20;0
0.307873;36.29;0
0.291881;37.28;0
0.276276;36.17;0
0.261259;35.42;0
0.246661;32.70;0
0.232147;32.29;0
0.217363;34.64;0
0.202472;33.38;0
0.187976;33.06;0
0.174300;32.79;0
0.162137;32.78;0
0.151310;32.98;0
0.141583;32.44;0
0.132908;31.44;0
0.124946;31.10;0
0.117678;31.14;0
0.111013;31.13;0
0.104909;31.27;0
0.099237;31.17;0
0.093905;30.98;0
0.088922;31.20;0
0.084257;31.45;0
0.079857;31.05;0
0.075716;31.07;0
0.071866;31.12;0
0.068290;31.17;0
0.064951;31.26;0
0.061820;31.12;0
0.058878;31.21;0
0.056107;31.25;0
0.053488;31.22;0
0.051007;31.12;0
0.048660;31.20;0
0.046451;31.23;0
0.044380;31.21;0
0.042438;31.33;0
0.040619;31.35;0
0.038914;31.35;0
0.037319;31.45;0
0.035827;31.39;0
0.034433;31.40;0
0.033128;31.55;0
0.031907;31.39;0
0.030762;31.41;0
0.029686;31.20;0
0.028671;31.25;0
0.027713;31.37;0
0.026803;31.32;0
0.025937;31.37;0
0.025111;31.42;0
0.024319;31.34;0
0.023558;31.44;0
0.022827;31.42;0
0.022125;31.48;0
0.021451;31.55;0
0.020804;31.69;0
0.020185;31.50;0
0.019591;31.25;0
0.019018;30.68;0
0.018464;30.70;0
0.017922;30.76;0
0.017390;30.71;0
0.016865;30.80;0
0.016345;30.80;0
0.015831;30.96;0
0.015324;31.27;0
0.014827;31.29;0
0.014342;31.68;0
0.013872;31.51;0
0.013420;31.92;0
0.012987;31.45;0
0.012576;31.79;0
0.012187;31.23;0
0.011820;31.84;0
0.011475;32.43;0
0.011148;33.33;0
0.010837;32.43;0
0.010540;32.50;0
0.010252;32.59;0
0.009973;32.07;0
0.009701;32.52;0
0.009434;34.05;0
0.009174;33.58;0
0.008919;33.40;0
0.008670;32.24;0
0.008426;32.34;0
0.008189;32.77;0
0.007957;33.17;0
0.007732;33.20;0
0.007513;33.21;0
0.007299;33.13;0
0.007091;32.73;0
0.006889;32.63;0
0.006692;33.32;0
0.006501;32.07;0
0.006314;32.15;0
0.006133;32.00;0
0.005958;32.23;0
0.333185;31.92;1
0.316806;31.91;1
0.301006;32.52;1
0.285617;33.21;1
0.270581;31.74;1
0.255861;31.82;1
0.241586;31.89;1
0.227898;32.02;1
0.214761;31.92;1
0.202177;31.89;1
0.190182;31.88;1
0.178806;31.93;1
0.168082;31.98;1
0.158019;32.41;1
0.148611;31.88;1
0.139833;31.90;1
0.131648;31.86;1
0.124023;31.89;1
0.116934;31.87;1
0.110360;32.05;1
0.104284;31.75;1
0.098682;31.82;1
0.093530;31.78;1
0.088799;31.95;1
0.084458;31.92;1
0.080473;31.79;1
0.076809;32.30;1
0.073432;31.82;1
0.070312;31.88;1
0.067420;31.96;1
0.064737;31.97;1
0.062244;32.04;1
0.059926;31.79;1
0.057771;31.90;1
0.055768;32.07;1
0.053902;31.93;1
0.052162;32.10;1
0.050530;31.99;1
0.048992;31.85;1
0.047533;31.87;1
0.046139;32.07;1
0.044795;31.93;1
0.043485;30.98;1
0.042197;30.63;1
0.040919;30.71;1
0.039645;30.73;1
0.038372;30.53;1
