loss;elapsed time;iteration
0.279613;29.10;0
0.005971;28.27;0
0.003314;28.08;0
0.002618;27.95;0
0.002334;28.32;0
0.002196;27.93;0
0.002150;27.90;0
0.002079;28.70;0
0.002097;28.09;0
0.002045;28.14;0
0.002063;28.00;0
0.002142;28.02;0
0.002036;28.18;0
0.002070;28.15;0
0.002012;27.95;0
0.002010;28.43;0
0.002036;28.13;0
0.002010;28.24;0
0.002046;28.02;0
0.002011;27.92;0
0.002006;28.03;0
0.002011;28.04;0
0.002009;28.06;0
0.002015;28.18;0
0.002006;28.21;0
0.002005;28.66;0
0.002031;28.49;0
0.002016;28.22;0
0.002004;28.31;0
0.002007;28.15;0
0.002004;28.19;0
0.002006;28.09;0
0.002004;28.13;0
0.002006;27.92;0
0.002054;27.98;0
0.002017;28.06;0
0.002002;27.92;0
0.002007;28.10;0
0.002012;28.03;0
0.002013;28.09;0
0.002005;28.10;0
0.002005;28.39;0
0.002002;28.01;0
0.002020;28.14;0
0.002004;27.97;0
0.002004;28.04;0
0.002004;28.14;0
0.002004;28.26;0
0.002005;28.21;0
0.002005;28.48;0
0.002032;28.20;0
0.002002;28.26;0
0.002036;28.57;0
0.002062;28.18;0
0.002008;28.16;0
0.002023;28.66;0
0.002003;28.84;0
0.002011;28.97;0
0.002002;29.10;0
0.002002;28.77;0
0.002006;28.62;0
0.002052;28.59;0
0.002057;28.54;0
0.002003;28.33;0
0.002004;28.00;0
0.002003;28.43;0
0.002005;28.53;0
0.002060;28.49;0
0.002001;28.58;0
0.002009;28.60;0
0.002009;28.51;0
0.002073;28.19;0
0.002000;28.23;0
0.002004;28.29;0
0.002006;28.10;0
0.002048;28.22;0
0.002000;28.24;0
0.002023;28.05;0
0.002002;28.18;0
0.001995;27.72;0
0.002006;27.75;0
0.002022;27.74;0
0.002046;28.41;0
0.002005;28.87;0
0.002019;28.61;0
0.001992;28.25;0
0.001989;28.15;0
0.002001;27.96;0
0.002024;27.99;0
0.001998;28.28;0
0.001997;28.37;0
0.001990;28.45;0
0.001999;28.52;0
0.002027;28.22;0
0.001993;28.18;0
0.001986;28.25;0
0.001982;28.42;0
0.001995;28.00;0
0.001990;28.42;0
0.002007;28.20;0
0.158412;28.25;1
0.005126;28.28;1
0.002936;28.27;1
0.002394;28.41;1
0.002201;28.67;1
0.002178;28.35;1
0.002068;28.30;1
0.002045;28.92;1
0.002043;28.96;1
0.002020;28.68;1
0.002042;27.95;1
0.002014;28.13;1
0.002015;28.50;1
0.002033;28.45;1
0.002000;28.41;1
0.002003;28.65;1
0.002004;28.98;1
0.002020;28.45;1
0.002105;28.29;1
0.001995;28.14;1
0.001987;28.04;1
0.002016;27.93;1
0.002044;28.20;1
0.002004;28.35;1
0.001999;27.98;1
0.001989;28.11;1
0.001993;28.10;1
0.001986;28.19;1
0.002010;28.21;1
0.002021;28.40;1
0.001987;28.48;1
0.001997;28.57;1
0.001994;28.60;1
0.001998;28.43;1
0.001991;28.36;1
0.001988;28.29;1
0.001987;28.37;1
0.002013;28.52;1
0.001987;28.55;1
0.001985;28.34;1
0.002000;28.29;1
0.001998;28.54;1
0.002127;27.96;1
0.002061;28.41;1
0.001998;28.01;1
0.001985;28.67;1
0.001988;28.28;1
0.002249;28.85;1
0.002028;28.25;1
0.002009;28.84;1
0.001982;28.28;1
0.001980;28.10;1
0.001981;28.44;1
0.001981;28.75;1
0.001983;28.23;1
0.001979;27.91;1
0.001978;28.14;1
0.001979;28.20;1
0.001978;27.96;1
0.001985;28.28;1
0.001978;28.52;1
0.001982;28.34;1
0.001978;28.55;1
0.001986;28.45;1
0.001984;28.43;1
0.001997;28.75;1
0.001979;28.70;1
0.001977;28.27;1
0.001978;28.41;1
0.001976;28.21;1
0.001976;28.38;1
0.001983;28.33;1
0.001974;28.54;1
0.001978;28.26;1
0.001977;28.23;1
0.001974;27.85;1
0.001980;28.32;1
0.001979;28.60;1
0.001976;28.40;1
0.001973;28.31;1
0.001977;28.48;1
0.001980;28.65;1
0.001975;28.31;1
0.001976;28.13;1
0.001974;28.48;1
0.001976;28.67;1
0.001977;28.08;1
0.001974;28.57;1
0.001976;28.59;1
0.001973;28.69;1
0.001977;28.19;1
0.001976;28.45;1
0.001975;28.29;1
0.001974;28.59;1
0.001971;28.70;1
0.001971;28.26;1
