,iteration,BottleneckKAGNAttentionConv_16_4_1_et,BottleneckKAGNConv_256_128_2_et,BottleneckKAGNLinear_128_8_4_et,BottleneckKAGNLinear_256_128_32_et,FastKANConvLR_128_8_4_et,FastKANConv_128_8_4_et,FastKANConv_256_128_4_et,FastKANLinear_128_8_4_et,FastKANLinear_256_128_32_et,FastKANWide_256_128_16_et,ReluKAN_256_128_4_et,SQuIRELSConv_16_8_2_et,SQuIRELSConv_256_128_32_et,SQuIRELSConv_256_128_64_et,SQuIRELSLinear_128_8_4_et,SQuIRELSLinear_256_128_32_et
0,0,45.6,33.88,33.84,33.78,35.16,35.32,37.25,31.32,29.63,40.3,61.5,44.96,29.41,43.7,29.53,29.2
1,0,44.73,33.28,34.2,36.36,34.97,34.52,37.15,30.37,29.53,38.77,61.2,45.87,28.21,39.72,29.2,28.91
2,0,44.84,34.04,36.29,35.0,34.96,34.53,37.18,30.71,30.5,38.09,61.37,44.8,28.21,39.23,29.13,28.81
3,0,44.53,33.31,37.28,34.88,35.91,34.52,37.1,31.76,29.51,38.61,61.1,45.03,28.09,43.37,28.97,29.0
4,0,44.43,33.7,36.17,35.01,35.91,34.52,37.17,31.02,30.32,37.97,61.13,44.57,28.6,39.43,29.86,29.15
5,0,44.86,34.23,35.42,34.22,36.25,34.6,37.18,31.68,29.32,37.89,61.39,45.9,28.36,39.36,28.99,29.1
6,0,44.61,33.95,32.7,35.32,35.94,34.6,37.14,30.88,29.53,37.99,61.12,44.47,29.7,39.2,28.96,29.12
7,0,44.6,33.77,32.29,34.38,35.9,34.54,36.7,30.44,29.61,38.36,61.32,43.37,29.65,39.46,29.5,28.99
8,0,44.82,36.02,34.64,33.73,36.65,34.49,36.62,30.51,29.49,38.03,61.16,43.88,28.58,39.29,29.32,29.19
9,0,44.68,34.43,33.38,33.81,36.24,34.46,36.62,31.9,29.55,37.63,61.15,44.28,28.6,39.33,29.37,29.22
10,0,44.65,33.51,33.06,33.07,36.31,34.47,36.62,30.1,29.09,37.37,61.23,44.3,28.35,39.33,28.39,29.17
11,0,44.63,33.89,32.79,33.27,36.1,34.46,36.62,30.27,28.57,37.36,61.12,45.44,28.27,39.26,28.66,29.25
12,0,44.61,34.02,32.78,33.25,35.85,34.49,36.63,30.18,28.46,37.42,61.11,43.03,28.06,39.35,28.41,29.03
13,0,44.58,34.89,32.98,33.58,35.59,34.49,36.62,31.36,28.51,37.39,61.36,43.0,28.24,39.31,28.32,29.14
14,0,43.81,34.65,32.44,33.19,35.02,34.49,36.63,30.7,29.11,37.91,61.07,42.62,28.08,39.19,27.97,29.01
15,0,43.82,34.61,31.44,33.3,34.71,34.46,36.62,30.52,31.47,37.43,61.07,42.43,28.13,39.5,27.86,28.96
16,0,43.9,33.86,31.1,33.6,34.99,34.47,36.61,30.55,30.71,37.36,61.08,42.54,28.12,39.1,27.8,29.17
17,0,43.9,34.44,31.14,33.85,35.87,34.5,36.63,30.53,30.67,37.39,61.26,42.96,28.01,39.16,28.68,28.93
18,0,43.98,34.66,31.13,32.93,34.95,34.46,36.65,30.58,30.84,37.8,60.96,42.13,27.39,39.2,28.14,28.86
