,iteration,BottleneckKAGNAttentionConv_16_4_1_loss,BottleneckKAGNConv_256_128_2_loss,BottleneckKAGNLinear_128_8_4_loss,BottleneckKAGNLinear_256_128_32_loss,FastKANConvLR_128_8_4_loss,FastKANConv_128_8_4_loss,FastKANConv_256_128_4_loss,FastKANLinear_128_8_4_loss,FastKANLinear_256_128_32_loss,FastKANWide_256_128_16_loss,ReluKAN_256_128_4_loss,SQuIRELSConv_16_8_2_loss,SQuIRELSConv_256_128_32_loss,SQuIRELSConv_256_128_64_loss,SQuIRELSLinear_128_8_4_loss,SQuIRELSLinear_256_128_32_loss
0,0,0.103567,0.25363,0.339654,0.227119,0.133435,0.096494,0.10502,0.136229,0.159525,0.116163,0.286656,0.002391,0.002018,0.001996,0.113457,0.012251
1,0,0.094917,0.216626,0.323838,0.160833,0.078652,0.059321,0.083623,0.119735,0.067455,0.088969,0.211643,0.002269,0.002009,0.001993,0.109508,0.009898
2,0,0.086827,0.182169,0.307873,0.124468,0.056077,0.036507,0.068676,0.103462,0.032322,0.072225,0.148469,0.002193,0.002004,0.001992,0.105734,0.00799
3,0,0.076357,0.154169,0.291881,0.103188,0.043298,0.025673,0.055593,0.090061,0.017996,0.061599,0.109241,0.002143,0.002003,0.001992,0.102092,0.006613
4,0,0.066007,0.13383,0.276276,0.089116,0.034554,0.018488,0.04374,0.079123,0.011975,0.054203,0.086213,0.002108,0.002001,0.001991,0.098588,0.005605
5,0,0.058089,0.119308,0.261259,0.078905,0.027148,0.013841,0.034653,0.069496,0.008966,0.048404,0.072368,0.002083,0.002,0.00199,0.095266,0.004848
6,0,0.050549,0.10769,0.246661,0.07097,0.020477,0.010819,0.027711,0.060798,0.007214,0.043467,0.063431,0.002064,0.002,0.001989,0.092124,0.004251
7,0,0.042605,0.097057,0.232147,0.064522,0.015929,0.008771,0.022166,0.053162,0.006067,0.03921,0.057291,0.002049,0.001999,0.001987,0.089108,0.003762
8,0,0.036166,0.086329,0.217363,0.059103,0.012998,0.007329,0.017835,0.046526,0.005253,0.03544,0.052699,0.002038,0.001999,0.001984,0.086199,0.003359
9,0,0.031022,0.075634,0.202472,0.054363,0.011348,0.00628,0.014638,0.04074,0.004652,0.032081,0.049077,0.00203,0.001998,0.001976,0.083341,0.003031
10,0,0.027724,0.066331,0.187976,0.050023,0.010223,0.005491,0.012227,0.035667,0.004191,0.029096,0.046147,0.002024,0.001998,0.001965,0.080514,0.002772
11,0,0.025085,0.059366,0.1743,0.045888,0.009454,0.004883,0.010318,0.031197,0.00383,0.026352,0.043701,0.002019,0.001997,0.001957,0.077751,0.002573
12,0,0.022846,0.054385,0.162137,0.041942,0.008821,0.004403,0.008784,0.027244,0.003543,0.023884,0.041599,0.002016,0.001997,0.001951,0.075101,0.002421
13,0,0.021141,0.050631,0.15131,0.038604,0.008263,0.004015,0.007559,0.023742,0.003311,0.021667,0.039756,0.002013,0.001996,0.001946,0.072582,0.002306
