loss;elapsed_time;iteration
0.133435;35.16;0
0.078652;34.97;0
0.056077;34.96;0
0.043298;35.91;0
0.034554;35.91;0
0.027148;36.25;0
0.020477;35.94;0
0.015929;35.90;0
0.012998;36.65;0
0.011348;36.24;0
0.010223;36.31;0
0.009454;36.10;0
0.008821;35.85;0
0.008263;35.59;0
0.007752;35.02;0
0.007266;34.71;0
0.006841;34.99;0
0.006435;35.87;0
0.006068;34.95;0
0.005721;34.86;0
0.005252;34.62;0
0.004648;34.63;0
0.004248;34.60;0
0.003985;34.65;0
0.003784;34.62;0
0.003617;34.63;0
0.003460;34.60;0
0.003322;34.60;0
0.003196;34.64;0
0.003077;34.61;0
0.002970;34.60;0
0.002870;34.61;0
0.002778;34.61;0
0.002694;34.63;0
0.002618;34.60;0
0.002547;34.61;0
0.002482;34.66;0
0.002426;34.61;0
0.002377;34.62;0
0.002333;34.61;0
0.002293;34.62;0
0.002257;34.65;0
0.002226;34.63;0
0.002197;34.60;0
0.002171;34.61;0
0.002147;34.61;0
0.002124;34.63;0
0.002103;34.64;0
0.002088;34.62;0
0.002075;34.63;0
0.002064;34.62;0
0.002054;34.62;0
0.002047;34.64;0
0.002040;34.61;0
0.002035;34.63;0
0.002030;34.61;0
0.002026;34.62;0
0.002023;34.63;0
0.002020;34.62;0
0.002017;34.62;0
0.002015;34.61;0
0.002013;34.63;0
0.002011;34.56;0
0.002009;34.41;0
0.002008;34.40;0
0.002006;34.40;0
0.002005;34.40;0
0.002004;34.40;0
0.002003;34.45;0
0.002002;34.44;0
0.002002;34.44;0
0.002001;34.44;0
0.002001;34.45;0
0.002000;34.44;0
0.002000;34.44;0
0.001999;34.44;0
0.001999;34.78;0
0.001999;34.63;0
0.001998;34.64;0
0.001998;34.63;0
0.001997;34.63;0
0.001997;34.67;0
0.001997;34.65;0
0.001997;34.65;0
0.001996;34.64;0
0.001996;34.64;0
0.001996;34.66;0
0.001995;34.64;0
0.001995;34.64;0
0.001995;34.63;0
0.001994;34.64;0
0.001994;34.69;0
0.001994;34.64;0
0.001993;34.64;0
0.001993;34.64;0
0.001993;34.65;0
0.001992;34.67;0
0.001992;34.65;0
0.001992;34.64;0
0.001992;34.65;0
0.448599;34.80;1
0.190277;34.62;1
0.109629;34.64;1
0.075216;34.62;1
0.051548;34.60;1
0.038650;34.59;1
0.031666;34.64;1
0.026878;34.63;1
0.023591;34.64;1
