loss;elapsed_time;iteration
0.105020;37.25;0
0.083623;37.15;0
0.068676;37.18;0
0.055593;37.10;0
0.043740;37.17;0
0.034653;37.18;0
0.027711;37.14;0
0.022166;36.70;0
0.017835;36.62;0
0.014638;36.62;0
0.012227;36.62;0
0.010318;36.62;0
0.008784;36.63;0
0.007559;36.62;0
0.006583;36.63;0
0.005801;36.62;0
0.005171;36.61;0
0.004656;36.63;0
0.004234;36.65;0
0.003883;36.62;0
0.003588;36.63;0
0.003341;36.64;0
0.003132;36.62;0
0.002955;36.62;0
0.002806;36.62;0
0.002681;36.62;0
0.002578;36.62;0
0.002493;36.61;0
0.002423;36.62;0
0.002365;36.62;0
0.002316;36.62;0
0.002275;36.56;0
0.002240;36.38;0
0.002210;36.38;0
0.002184;36.40;0
0.002161;36.38;0
0.002142;36.38;0
0.002125;36.39;0
0.002110;36.38;0
0.002097;36.39;0
0.002086;36.40;0
0.002076;36.40;0
0.002067;36.39;0
0.002060;36.39;0
0.002053;36.39;0
0.002047;36.40;0
0.002042;36.39;0
0.002037;36.39;0
0.002033;36.39;0
0.002029;36.40;0
0.002026;36.39;0
0.002023;36.40;0
0.002020;36.39;0
0.002018;36.39;0
0.002015;36.39;0
0.002013;36.38;0
0.002012;36.40;0
0.002010;36.39;0
0.002009;36.41;0
0.002007;36.39;0
0.002006;36.39;0
0.002005;36.40;0
0.002004;36.38;0
0.002003;36.39;0
0.002003;36.39;0
0.002002;36.39;0
0.002001;36.41;0
0.002000;36.39;0
0.002000;36.44;0
0.001999;36.44;0
0.001999;36.45;0
0.001998;36.44;0
0.001998;36.44;0
0.001997;36.44;0
0.001997;36.44;0
0.001996;36.44;0
0.001996;36.44;0
0.001996;36.44;0
0.001995;36.44;0
0.001995;36.44;0
0.001995;36.46;0
0.001994;36.44;0
0.001994;36.44;0
0.001994;36.44;0
0.001993;36.44;0
0.001993;36.44;0
0.001993;36.44;0
0.001992;36.44;0
0.001992;36.44;0
0.001992;36.45;0
0.001991;36.53;0
0.001991;36.51;0
0.001991;36.44;0
0.001991;36.45;0
0.001990;36.44;0
0.001990;36.45;0
0.001990;36.44;0
0.001989;36.44;0
0.001989;36.44;0
0.001989;36.44;0
0.091636;36.61;1
0.067113;36.39;1
0.048393;36.39;1
0.035045;36.39;1
0.025914;36.42;1
0.019704;36.39;1
0.015388;36.44;1
0.012355;36.44;1
0.010177;36.44;1
0.008559;36.45;1
0.007323;36.44;1
0.006362;36.45;1
0.005610;36.45;1
0.005015;36.45;1
0.004540;36.45;1
0.004157;36.44;1
0.003843;36.45;1
0.003585;36.45;1
0.003369;36.45;1
0.003189;36.45;1
0.003038;36.45;1
0.002911;36.45;1
0.002803;36.45;1
0.002710;36.45;1
0.002629;36.45;1
0.002559;36.44;1
0.002498;36.45;1
0.002444;36.45;1
0.002396;36.45;1
0.002354;36.44;1
0.002318;36.44;1
0.002285;36.44;1
0.002256;36.45;1
0.002230;36.45;1
0.002206;36.45;1
0.002186;36.45;1
0.002167;36.46;1
0.002150;36.45;1
0.002136;36.45;1
0.002122;36.45;1
0.002110;36.46;1
0.002100;36.45;1
0.002090;36.45;1
0.002082;36.45;1
0.002074;36.45;1
0.002067;36.45;1
0.002061;36.45;1
0.002056;36.45;1
0.002051;36.45;1
0.002047;36.45;1
0.002023;36.66;1
0.002022;36.44;1
0.002021;36.44;1
0.002021;36.44;1
0.002020;36.44;1
0.002019;36.44;1
0.002019;36.44;1
0.002018;36.44;1
0.002018;36.44;1
0.002017;36.45;1
0.002017;36.44;1
0.002016;36.44;1
0.002016;36.44;1
0.002016;36.45;1
0.002015;36.44;1
0.002015;36.44;1
0.002014;36.44;1
0.002014;36.45;1
0.002014;36.44;1
0.002013;36.44;1
0.002013;36.45;1
0.002013;36.45;1
0.002012;36.44;1
