loss;elapsed_time;iteration
0.159525;29.63;0
0.067455;29.53;0
0.032322;30.50;0
0.017996;29.51;0
0.011975;30.32;0
0.008966;29.32;0
0.007214;29.53;0
0.006067;29.61;0
0.005253;29.49;0
0.004652;29.55;0
0.004191;29.09;0
0.003830;28.57;0
0.003543;28.46;0
0.003311;28.51;0
0.003120;29.11;0
0.002961;31.47;0
0.002829;30.71;0
0.002718;30.67;0
0.002625;30.84;0
0.002545;30.16;0
0.002476;30.89;0
0.002417;30.37;0
0.002366;30.68;0
0.002321;30.54;0
0.002283;28.73;0
0.002249;28.46;0
0.002220;28.46;0
0.002194;30.38;0
0.002172;28.35;0
0.002152;28.38;0
0.002135;28.54;0
0.002120;28.63;0
0.002106;28.42;0
0.002095;28.62;0
0.002084;28.51;0
0.002075;28.42;0
0.002067;28.46;0
0.002060;28.35;0
0.002054;28.54;0
0.002048;28.43;0
0.002043;28.58;0
0.002039;28.66;0
0.002035;28.51;0
0.002032;28.38;0
0.002029;28.46;0
0.002026;28.71;0
0.002023;30.51;0
0.002021;28.55;0
0.002019;28.62;0
0.002018;28.33;0
0.002016;28.95;0
0.002015;28.79;0
0.002013;28.98;0
0.002012;28.74;0
0.002011;28.88;0
0.002010;28.68;0
0.002010;28.40;0
0.002009;28.86;0
0.002008;28.41;0
0.002007;29.04;0
0.002007;28.17;0
0.002006;28.21;0
0.002006;30.30;0
0.002006;28.12;0
0.002005;28.19;0
0.002005;28.32;0
0.002004;28.31;0
0.002004;28.36;0
0.002004;28.36;0
0.002004;28.40;0
0.002003;28.25;0
0.002003;28.69;0
0.002003;28.51;0
0.002003;28.62;0
0.002003;30.48;0
0.002003;28.26;0
0.002003;28.17;0
0.002002;28.31;0
0.002002;28.39;0
0.002002;28.42;0
0.002002;28.94;0
0.002002;28.65;0
0.002002;28.30;0
0.002002;28.66;0
0.002002;28.35;0
0.002002;28.17;0
0.002002;28.07;0
0.002002;28.22;0
0.002001;28.17;0
0.002001;30.39;0
0.002001;28.14;0
0.002001;28.29;0
0.002001;28.07;0
0.002001;28.32;0
0.002001;28.24;0
0.002001;28.19;0
0.002001;28.79;0
0.002001;28.32;0
0.002001;28.25;0
0.002001;28.27;0
0.150814;28.31;1
0.065737;28.49;1
0.030987;28.28;1
0.017164;28.34;1
0.011215;28.29;1
0.008314;30.37;1
0.006673;28.38;1
0.005622;28.50;1
0.004886;28.59;1
0.004343;28.43;1
0.003934;28.30;1
0.003617;28.47;1
0.003363;28.69;1
0.003158;28.55;1
0.002990;28.57;1
0.002852;28.47;1
0.002736;28.68;1
0.002638;29.73;1
0.002556;28.60;1
0.002485;28.74;1
0.002425;28.87;1
0.002373;28.86;1
0.002328;28.84;1
0.002290;28.65;1
0.002256;30.73;1
0.002227;28.55;1
0.002202;28.65;1
0.002179;28.64;1
0.002160;28.59;1
0.002142;28.62;1
0.002127;28.65;1
0.002114;29.29;1
0.002102;29.56;1
0.002091;28.66;1
0.002082;28.68;1
0.002074;28.43;1
0.002066;28.46;1
0.002060;28.16;1
0.002054;28.23;1
0.002049;28.65;1
0.002044;28.60;1
0.002040;28.65;1
0.002036;30.70;1
0.002033;28.65;1
0.002030;28.53;1
0.002028;28.67;1
0.002025;28.66;1
0.002023;28.66;1
0.002022;28.56;1
0.002020;28.46;1
0.002018;28.80;1
0.002018;28.98;1
0.002018;29.04;1
0.002018;29.00;1
0.002018;28.72;1
0.002018;28.70;1
0.002017;28.71;1
0.002017;28.65;1
0.002017;28.55;1
0.002017;28.18;1
0.002017;28.04;1
0.002017;28.23;1
0.002017;28.56;1
0.002017;28.80;1
0.002017;28.67;1
0.002017;28.77;1
0.002017;30.75;1
0.002017;28.71;1
0.002017;28.64;1
0.002016;28.89;1
0.002016;28.70;1
0.002016;28.63;1
0.002016;28.78;1
0.002016;28.66;1
0.002016;28.74;1
0.002016;29.10;1
0.002016;28.92;1
0.002016;28.72;1
0.002016;28.90;1
0.002016;28.88;1
0.002016;29.08;1
0.002016;28.77;1
0.002016;29.22;1
0.002016;28.69;1
0.002016;29.37;1
0.002016;28.81;1
0.002016;28.50;1
0.002016;28.57;1
0.002016;28.74;1
0.002015;30.92;1
0.002015;29.53;1
0.002015;29.11;1
0.002015;28.22;1
0.002015;28.41;1
0.002015;28.29;1
0.002015;28.23;1
0.002015;28.24;1
0.002015;28.33;1
0.002015;28.26;1
0.002015;28.21;1
0.002018;28.31;2
0.002017;28.39;2
0.002016;28.30;2
0.002015;28.28;2
0.002014;28.46;2
0.002014;29.27;2
0.002013;29.24;2
0.002012;28.85;2
0.002012;28.49;2
0.002011;28.32;2
0.002011;28.45;2
0.002010;28.74;2
0.002010;30.56;2
0.002010;28.33;2
0.002009;28.34;2
0.002009;29.39;2
0.002009;29.93;2
0.002008;30.20;2
0.002008;30.11;2
0.002008;30.39;2
0.002008;30.38;2
0.002008;30.45;2
0.002007;29.52;2
0.002007;29.04;2
0.002007;28.31;2
0.002007;28.21;2
0.002007;28.18;2
0.002007;28.38;2
0.002006;28.95;2
0.002006;29.10;2
0.002006;28.56;2
0.002006;28.19;2
0.002006;28.74;2
0.002006;28.64;2
0.002006;28.81;2
0.002006;29.96;2
0.002006;30.01;2
0.002006;29.90;2
0.002006;28.88;2
0.002005;28.94;2
0.002005;28.97;2
0.002005;29.02;2
0.002005;29.98;2
0.002005;29.72;2
0.002005;29.53;2
0.002005;31.10;2
