loss;elapsed_time;iteration
0.116163;40.30;0
0.088969;38.77;0
0.072225;38.09;0
0.061599;38.61;0
0.054203;37.97;0
0.048404;37.89;0
0.043467;37.99;0
0.039210;38.36;0
0.035440;38.03;0
0.032081;37.63;0
0.029096;37.37;0
0.026352;37.36;0
0.023884;37.42;0
0.021667;37.39;0
0.019668;37.91;0
0.017873;37.43;0
0.016264;37.36;0
0.014828;37.39;0
0.013542;37.80;0
0.012360;37.31;0
0.011372;37.39;0
0.010421;37.41;0
0.009545;37.82;0
0.008792;37.38;0
0.008133;37.41;0
0.007513;37.40;0
0.006981;37.40;0
0.006513;37.36;0
0.006103;37.29;0
0.005742;37.28;0
0.005413;37.46;0
0.005138;37.40;0
0.004871;37.26;0
0.004644;141.54;0
0.004440;142.09;0
0.004254;141.85;0
0.004088;142.04;0
0.003938;71.43;0
0.003803;36.35;0
0.003680;36.38;0
0.003575;36.39;0
0.003471;36.36;0
0.003378;36.36;0
0.003302;36.35;0
0.003221;36.38;0
0.003156;36.37;0
0.003095;36.35;0
0.003038;36.36;0
0.002983;36.34;0
0.002927;36.37;0
0.002888;36.38;0
0.002841;36.35;0
0.002800;69.92;0
0.002765;138.22;0
0.002731;140.09;0
0.002701;138.26;0
0.002665;138.25;0
0.002638;138.10;0
0.002606;138.16;0
0.002588;138.16;0
0.002561;138.22;0
0.002536;138.42;0
0.002511;138.27;0
0.002493;138.31;0
0.002474;138.37;0
0.002455;138.38;0
0.002435;138.65;0
0.002429;138.31;0
0.002402;138.26;0
0.002389;138.25;0
0.002377;138.32;0
0.002360;138.33;0
0.002346;138.61;0
0.002335;138.43;0
0.002325;138.24;0
0.002313;138.29;0
0.002300;138.21;0
0.002293;138.23;0
0.002280;138.39;0
0.002269;139.14;0
0.002260;138.90;0
0.002253;139.00;0
0.002244;173.18;0
0.002235;150.88;0
0.002229;151.16;0
0.002221;150.74;0
0.002216;152.66;0
0.002207;154.33;0
0.002201;153.11;0
0.002195;152.36;0
0.002187;155.17;0
0.002181;152.64;0
0.002174;152.69;0
0.002169;152.72;0
0.002164;152.72;0
0.002158;152.71;0
0.002155;151.03;0
0.002149;147.79;0
0.002144;147.85;0
0.002140;147.73;0
0.305326;37.29;1
0.221971;36.61;1
0.167161;36.66;1
0.130456;36.63;1
