loss;elapsed time;iteration
1.410904;27.85;0
1.128181;27.84;0
0.919819;27.85;0
0.770414;27.65;0
0.668275;27.36;0
0.588589;27.45;0
0.519231;27.58;0
0.457561;27.50;0
0.402477;27.56;0
0.353516;27.65;0
0.310391;28.02;0
0.272850;28.07;0
0.240558;27.98;0
0.213066;27.54;0
0.189836;27.80;0
0.170342;27.97;0
0.154024;27.69;0
0.140366;27.63;0
0.128888;27.55;0
0.119150;27.57;0
0.110777;27.36;0
0.103458;27.72;0
0.096931;27.85;0
0.091001;27.97;0
0.085571;27.74;0
0.080567;27.70;0
0.075919;28.09;0
0.071580;28.07;0
0.067502;28.03;0
0.063652;27.93;0
0.060004;27.95;0
0.056534;27.51;0
0.053227;27.25;0
0.050071;27.84;0
0.047058;27.64;0
0.044179;27.59;0
0.041434;27.54;0
0.038819;27.82;0
0.036328;27.87;0
0.033960;28.03;0
0.031713;27.78;0
0.029587;27.66;0
0.027586;27.63;0
0.025706;27.49;0
0.023943;27.64;0
0.022296;27.72;0
0.020756;27.90;0
0.019320;27.67;0
0.017984;27.81;0
0.016742;27.34;0
0.015588;27.46;0
0.014521;27.25;0
0.013533;27.33;0
0.012622;28.02;0
0.011781;27.83;0
0.011005;27.73;0
0.010292;27.46;0
0.009637;27.71;0
0.009034;27.51;0
0.008481;27.80;0
0.007975;27.64;0
0.007513;27.41;0
0.007093;27.69;0
0.006710;27.52;0
0.006363;27.53;0
0.006049;28.04;0
0.005764;27.98;0
0.005506;27.78;0
0.005271;28.09;0
0.005056;27.97;0
0.004861;27.93;0
0.004682;27.81;0
0.004518;27.69;0
0.004367;28.10;0
0.004229;28.16;0
0.004102;27.92;0
0.003983;28.26;0
0.003871;27.87;0
0.003767;28.62;0
0.003670;28.58;0
0.003578;28.61;0
0.003492;28.21;0
0.003411;28.02;0
0.003334;27.84;0
0.003261;27.81;0
0.003193;27.63;0
0.003128;27.63;0
0.003068;27.63;0
0.003011;28.17;0
0.002957;28.09;0
0.002906;27.67;0
0.002858;27.96;0
0.002813;28.13;0
0.002771;28.04;0
0.002731;28.42;0
0.002694;27.95;0
0.002658;27.92;0
0.002625;28.05;0
0.002594;28.29;0
0.002564;28.08;0
0.217118;28.45;1
0.174107;28.12;1
0.144879;27.63;1
0.124342;27.65;1
0.109189;28.04;1
0.097349;27.70;1
0.087690;27.43;1
0.079550;27.66;1
0.072528;27.55;1
0.066369;27.66;1
0.060898;28.03;1
0.055995;28.25;1
0.051566;28.15;1
0.047548;28.20;1
0.043886;27.62;1
0.040536;27.81;1
0.037469;28.00;1
0.034655;27.97;1
0.032070;27.66;1
0.029683;27.68;1
0.027472;28.00;1
0.025426;27.75;1
0.023534;28.06;1
0.021786;28.01;1
0.020169;27.57;1
0.018675;27.81;1
0.017297;27.79;1
0.016030;27.79;1
0.014866;28.20;1
0.013797;27.66;1
0.012819;27.81;1
0.011927;27.83;1
0.011113;28.25;1
0.010372;28.43;1
0.009699;28.64;1
0.009089;28.64;1
0.008536;28.64;1
0.008036;27.78;1
0.007586;27.75;1
0.007181;27.55;1
0.006817;28.02;1
0.006490;27.84;1
0.006195;27.41;1
0.005930;27.57;1
0.005691;27.69;1
0.005475;27.97;1
0.005280;27.71;1
0.005102;27.90;1
0.004941;27.85;1
0.004792;27.98;1
0.004457;27.67;1
0.004333;27.78;1
0.004242;27.78;1
0.004165;27.76;1
0.004098;27.87;1
0.004037;27.83;1
0.003981;27.46;1
0.003930;27.54;1
0.003882;27.72;1
0.003837;27.62;1
0.003795;27.60;1
0.003755;27.90;1
0.003718;27.64;1
0.003683;27.92;1
0.003649;27.62;1
0.003617;28.07;1
0.003587;28.04;1
0.003559;28.09;1
0.003531;28.38;1
0.003505;27.91;1
0.003480;27.74;1
0.003457;27.57;1
0.003434;27.58;1
0.003413;27.62;1
0.003392;27.73;1
0.003372;28.53;1
0.003353;28.40;1
0.003335;28.05;1
0.003318;27.77;1
0.003301;27.81;1
0.003285;27.82;1
0.003270;27.83;1
0.003256;27.77;1
0.003242;27.77;1
0.003228;27.58;1
0.003216;27.54;1
0.003203;27.40;1
0.003191;28.08;1
0.003180;28.11;1
0.003169;27.74;1
0.003159;27.40;1
0.003148;27.52;1
0.003139;27.44;1
0.003129;27.98;1
0.003120;28.07;1
0.003111;27.86;1
0.003103;27.67;1
0.003095;27.70;1
0.003087;27.60;1
0.003079;27.45;1
0.003352;27.78;2
0.003273;28.08;2
0.003214;28.20;2
0.003164;27.80;2
0.003120;27.98;2
0.003080;28.34;2
0.003042;28.27;2
0.003008;27.61;2
0.002976;27.74;2
0.002946;27.58;2
0.002918;27.86;2
0.002893;27.95;2
0.002868;28.20;2
0.002846;28.23;2
0.002825;27.59;2
0.002805;27.44;2
0.002787;27.91;2
0.002770;27.90;2
0.002754;27.73;2
0.002739;27.96;2
0.002725;27.95;2
0.002713;27.80;2
0.002701;28.07;2
0.002689;27.92;2
0.002679;27.75;2
0.002669;27.80;2
0.002659;27.71;2
0.002650;27.92;2
0.002642;27.64;2
0.002634;27.72;2
0.002627;27.57;2
0.002620;27.48;2
0.002613;27.53;2
0.002607;27.32;2
0.002601;27.65;2
0.002595;28.09;2
0.002590;28.11;2
0.002585;28.22;2
0.002580;28.25;2
0.002576;28.67;2
0.002571;28.54;2
0.002567;28.23;2
0.002563;27.89;2
0.002559;28.19;2
0.002555;28.13;2
0.002552;28.17;2
0.002549;28.45;2
0.002546;28.03;2
0.002543;27.65;2
0.002540;27.66;2
0.002212;27.67;2
0.002200;27.53;2
0.002193;27.57;2
0.002189;27.63;2
0.002185;27.62;2
0.002182;27.90;2
0.002179;27.67;2
0.002177;27.47;2
0.002175;27.46;2
0.002173;27.55;2
0.002171;27.56;2
0.002169;27.37;2
0.002167;27.86;2
0.002166;27.51;2
0.002164;27.44;2
0.002163;27.50;2
0.002162;27.82;2
0.002160;27.71;2
0.002159;27.77;2
0.002158;27.78;2
0.002157;27.78;2
0.002156;27.95;2
0.002155;27.86;2
