loss;elapsed_time;iteration
0.286656;61.50;0
0.211643;61.20;0
0.148469;61.37;0
0.109241;61.10;0
0.086213;61.13;0
0.072368;61.39;0
0.063431;61.12;0
0.057291;61.32;0
0.052699;61.16;0
0.049077;61.15;0
0.046147;61.23;0
0.043701;61.12;0
0.041599;61.11;0
0.039756;61.36;0
0.038125;61.07;0
0.036671;61.07;0
0.035294;61.08;0
0.033987;61.26;0
0.032897;60.96;0
0.031888;62.22;0
0.030864;63.01;0
0.029750;61.49;0
0.028540;60.79;0
0.027555;61.47;0
0.026926;61.01;0
0.026504;61.64;0
0.026195;61.37;0
0.025954;61.91;0
0.025757;61.06;0
0.025588;61.49;0
0.025437;61.34;0
0.025297;60.95;0
0.025161;61.25;0
0.025024;60.67;0
0.024875;60.81;0
0.024699;60.91;0
0.024464;60.73;0
0.024079;60.95;0
0.023257;61.74;0
0.020916;61.41;0
0.019327;62.10;0
0.018174;61.38;0
0.015267;61.36;0
0.012231;61.40;0
0.009031;61.34;0
0.007588;60.79;0
0.007185;61.20;0
0.007001;61.80;0
0.006887;60.49;0
0.006807;60.33;0
0.006745;60.33;0
0.006689;60.34;0
0.006473;60.33;0
0.004975;60.33;0
0.004911;60.33;0
0.004877;60.33;0
0.004854;60.33;0
0.004837;60.33;0
0.004824;60.33;0
0.004814;60.33;0
0.004806;60.37;0
0.004799;60.33;0
0.004793;60.33;0
0.004788;60.33;0
0.004783;60.33;0
0.004780;60.39;0
0.004776;60.38;0
0.004774;60.39;0
0.004771;60.39;0
0.004769;60.38;0
0.004767;60.40;0
0.004765;60.38;0
0.004764;60.44;0
0.004762;60.19;0
0.004761;60.18;0
0.004760;60.18;0
0.004759;60.18;0
0.004758;60.86;0
0.004758;61.49;0
0.004757;61.64;0
0.004756;61.07;0
0.004756;61.08;0
0.004755;61.16;0
0.004755;61.07;0
0.004754;61.58;0
0.004754;61.40;0
0.004753;60.41;0
0.004753;60.42;0
0.004752;60.47;0
0.004752;60.82;0
0.004752;61.03;0
0.004751;61.98;0
0.004751;61.82;0
0.004751;61.63;0
0.004750;61.66;0
0.004750;62.20;0
0.004749;65.64;0
0.004749;64.45;0
0.004749;60.39;0
0.004748;60.39;0
0.212573;60.51;1
0.153969;60.34;1
0.120086;60.34;1
0.099553;60.38;1
0.086424;60.43;1
0.077929;61.63;1
0.072021;61.99;1
0.067644;61.15;1
0.064263;60.77;1
0.061622;61.23;1
0.059528;61.47;1
0.057814;61.33;1
0.056346;61.43;1
0.055036;62.11;1
0.053805;62.70;1
0.052592;62.43;1
0.051340;61.70;1
0.050066;61.62;1
0.048834;61.62;1
0.047627;61.08;1
0.046415;61.30;1
0.045122;61.70;1
0.043784;61.48;1
0.042632;61.27;1
0.041724;61.25;1
0.040637;61.14;1
0.038853;60.57;1
0.037563;60.54;1
0.036944;60.81;1
0.036419;60.98;1
0.035588;60.81;1
0.034134;60.89;1
0.033210;60.50;1
0.032821;60.73;1
0.032493;60.38;1
0.032064;60.49;1
0.029000;61.33;1
0.028335;61.14;1
0.028117;60.47;1
0.027968;60.94;1
0.027825;61.40;1
0.027657;61.06;1
0.027446;61.16;1
0.027160;61.11;1
0.026678;61.27;1
0.023960;62.28;1
0.023539;61.63;1
0.023142;61.21;1
0.022377;61.28;1
0.021099;61.14;1
0.019778;63.92;1
0.019768;61.52;1
0.019761;60.70;1
0.019757;60.89;1
0.019753;60.59;1
0.019750;61.94;1
0.019747;61.36;1
0.019744;61.16;1
0.019742;61.36;1
0.019740;61.17;1
0.019738;61.16;1
0.019736;60.88;1
0.019734;61.20;1
0.019733;60.74;1
0.019731;60.71;1
0.019729;61.32;1
0.019728;60.33;1
0.019726;61.28;1
0.019724;60.59;1
0.019723;61.12;1
0.019721;60.90;1
0.019720;61.14;1
0.019718;61.09;1
0.019716;60.76;1
0.019715;61.48;1
0.019713;60.73;1
0.019712;60.78;1
0.019711;61.02;1
0.019709;61.15;1
0.019708;61.05;1
0.019706;61.19;1
0.019705;61.18;1
0.019704;60.49;1
0.019703;60.44;1
0.019701;60.44;1
0.019700;60.44;1
0.019699;60.71;1
0.019698;60.41;1
0.019697;60.90;1
0.019696;60.67;1
0.019695;61.21;1
0.019694;60.45;1
0.019693;60.65;1
0.019692;60.81;1
0.019691;60.92;1
0.019690;61.01;1
0.019689;60.67;1
0.019688;60.73;1
0.019688;60.44;1
0.019687;60.44;1
0.018925;60.63;2
0.018837;60.43;2
0.018788;60.44;2
0.018756;60.43;2
0.018732;60.44;2
0.018715;60.44;2
0.018701;60.44;2
0.018690;60.65;2
0.018682;60.45;2
0.018674;60.45;2
0.018668;60.47;2
0.018662;60.44;2
0.018658;60.44;2
0.018654;60.47;2
0.018651;60.44;2
0.018648;60.44;2
0.018645;60.47;2
0.018643;60.45;2
0.018641;60.44;2
0.018639;60.47;2
0.018638;60.44;2
0.018636;60.47;2
0.018635;60.20;2
0.018634;60.20;2
0.018633;60.20;2
0.018632;60.20;2
0.018631;60.20;2
0.018631;60.20;2
0.018630;60.20;2
0.018629;60.20;2
0.018629;60.20;2
0.018628;60.20;2
0.018628;60.20;2
0.018628;60.20;2
0.018627;60.20;2
0.018627;60.20;2
0.018626;60.20;2
0.018626;60.20;2
0.018625;60.15;2
0.018625;60.15;2
0.018625;60.15;2
0.018625;60.15;2
0.018624;60.14;2
0.018624;60.13;2
0.018624;60.15;2
0.018624;60.14;2
0.018623;60.13;2
0.018623;60.13;2
0.018623;60.15;2
0.018623;60.14;2
0.018438;60.38;2
0.018435;60.20;2
0.018435;60.20;2
0.018434;60.20;2
0.018434;60.20;2
0.018434;60.20;2
0.018433;60.19;2
0.018433;60.20;2
0.018433;60.20;2
0.018433;60.22;2
0.018433;60.23;2
0.018433;60.22;2
0.018433;60.24;2
0.018433;60.20;2
0.018433;60.20;2
0.018433;60.20;2
0.018433;60.23;2
0.018432;60.33;2
0.018432;60.20;2
0.018432;60.20;2
0.018432;60.20;2
0.018432;60.20;2
0.018432;60.20;2
0.018432;60.20;2
0.018432;60.14;2
0.018432;60.15;2
0.018432;60.15;2
0.018432;60.15;2
0.018432;60.15;2
0.018431;60.15;2
0.018431;60.14;2
0.018431;60.13;2
0.018431;60.14;2
0.018431;60.15;2
0.018431;61.10;2
0.018431;61.08;2
0.018431;61.11;2
0.018431;61.10;2
0.018431;62.13;2
0.018431;62.25;2
0.018430;62.06;2
0.018430;61.37;2
0.018430;62.23;2
0.018430;62.47;2
0.018430;61.15;2
0.018430;61.24;2
0.018430;61.37;2
0.018430;61.62;2
0.018430;62.93;2
0.018429;61.20;2
0.018332;60.96;3
0.018331;60.95;3
0.018330;61.08;3
0.018329;60.91;3
0.018329;61.05;3
0.018329;60.71;3
0.018329;60.95;3
0.018328;61.24;3
0.018328;61.03;3
0.018328;61.03;3
0.018328;61.14;3
0.018328;61.00;3
0.018328;61.05;3
0.018328;60.86;3
0.018327;60.99;3
0.018327;61.06;3
0.018327;61.83;3
0.018327;60.70;3
0.018327;60.52;3
0.018327;60.69;3
0.018327;60.71;3
0.018327;61.71;3
0.018327;60.83;3
0.018327;60.97;3
0.018327;61.13;3
0.018327;61.04;3
0.018326;61.34;3
0.018326;61.16;3
0.018326;60.86;3
0.018327;60.94;3
0.018326;61.30;3
0.018326;60.96;3
0.018326;61.44;3
0.018326;61.28;3
0.018326;61.10;3
0.018326;61.28;3
0.018326;60.83;3
0.018326;60.27;3
0.018326;60.27;3
0.018326;60.27;3
0.018326;60.27;3
0.018326;60.27;3
0.018326;60.27;3
0.018326;60.33;3
0.018326;60.27;3
0.018326;60.27;3
0.018326;60.27;3
0.018325;60.27;3
0.018325;60.31;3
0.018325;60.48;3
0.018286;60.51;3
0.018286;60.31;3
0.018285;60.27;3
0.018285;60.27;3
0.018285;60.30;3
0.018285;60.28;3
0.018284;60.29;3
0.018284;61.62;3
0.018284;61.48;3
0.018284;60.79;3
0.018284;61.00;3
0.018283;61.27;3
0.018283;61.20;3
0.018283;61.89;3
0.018283;61.89;3
0.018282;61.84;3
0.018282;62.04;3
0.018282;61.73;3
0.018282;61.27;3
0.018281;61.33;3
0.018281;61.47;3
0.018281;60.75;3
0.018281;60.44;3
0.018280;61.60;3
0.018280;61.13;3
0.018280;61.80;3
0.018279;60.87;3
0.018279;60.44;3
0.018279;60.60;3
0.018278;62.08;3
0.018278;61.40;3
0.018278;61.95;3
0.018277;61.74;3
0.018277;61.45;3
0.018277;62.37;3
0.018276;61.63;3
0.018276;62.22;3
0.018276;61.88;3
0.018275;62.07;3
0.018275;60.67;3
0.018274;60.43;3
0.018274;61.20;3
0.018274;61.24;3
0.018273;60.59;3
0.018273;61.07;3
0.018272;61.40;3
0.018272;60.42;3
0.018272;60.40;3
0.018271;60.67;3
0.018271;60.33;3
0.018218;60.65;4
0.018217;60.41;4
0.018217;60.58;4
0.018217;60.73;4
0.018217;60.35;4
0.018216;60.34;4
0.018216;60.35;4
0.018216;60.34;4
0.018216;60.35;4
0.018216;60.34;4
0.018216;60.34;4
0.018215;60.35;4
0.018215;60.35;4
0.018215;60.35;4
0.018214;60.35;4
0.018213;60.40;4
0.018212;60.40;4
0.018210;60.40;4
0.018204;60.40;4
0.018188;60.40;4
0.018128;60.40;4
0.017760;60.40;4
0.013644;60.40;4
0.013293;60.40;4
0.013187;60.41;4
0.013133;60.40;4
0.013098;60.40;4
0.013076;60.77;4
0.013058;61.64;4
0.013045;61.47;4
0.013035;60.93;4
0.013027;60.98;4
0.013020;61.12;4
0.013015;61.26;4
0.013011;61.48;4
0.013006;61.61;4
0.013004;60.71;4
0.013001;61.14;4
0.012998;60.71;4
0.012996;60.64;4
0.012994;60.56;4
0.012992;60.76;4
0.012991;60.51;4
0.012990;60.37;4
0.012989;60.34;4
0.012988;60.34;4
0.012987;60.44;4
0.012986;60.56;4
0.012985;60.50;4
0.012985;61.89;4
0.012970;62.16;4
0.012969;61.96;4
0.012969;61.46;4
0.012968;62.16;4
0.012967;62.00;4
0.012967;61.53;4
0.012966;61.34;4
0.012966;61.52;4
0.012966;61.42;4
0.012965;60.94;4
0.012965;60.96;4
0.012964;60.88;4
0.012964;60.52;4
0.012963;61.26;4
0.012963;60.89;4
0.012963;61.05;4
0.012962;60.88;4
0.012962;61.38;4
0.012961;60.98;4
0.012961;60.71;4
0.012961;61.26;4
0.012960;60.90;4
0.012960;61.04;4
0.012960;61.18;4
0.012959;61.51;4
0.012959;61.52;4
0.012959;60.92;4
0.012958;60.80;4
0.012958;61.39;4
0.012958;61.55;4
0.012957;61.66;4
0.012957;62.18;4
0.012957;62.24;4
0.012956;61.24;4
0.012956;61.39;4
0.012956;61.91;4
0.012956;60.81;4
0.012955;60.50;4
0.012955;60.33;4
0.012955;60.54;4
0.012954;60.33;4
0.012954;60.36;4
0.012954;60.38;4
0.012954;60.33;4
0.012953;60.33;4
0.012953;60.36;4
0.012953;60.32;4
0.012953;60.34;4
0.012952;60.35;4
0.012952;60.33;4
0.012955;60.52;5
0.012955;60.83;5
0.012954;60.97;5
0.012954;60.33;5
0.012954;60.33;5
0.012954;60.71;5
0.012953;60.87;5
0.012953;60.33;5
0.012952;60.39;5
0.012952;60.35;5
0.012952;60.36;5
0.012952;60.33;5
0.012951;60.32;5
0.012951;60.33;5
0.012951;60.34;5
0.012951;60.33;5
0.012952;60.34;5
0.012951;60.33;5
0.012951;60.33;5
0.012950;60.35;5
0.012950;60.33;5
0.012950;61.20;5
0.012950;60.30;5
0.012950;60.33;5
0.012949;60.42;5
0.012949;60.33;5
0.012949;60.33;5
0.012949;60.35;5
0.012949;60.34;5
0.012949;60.33;5
0.012949;60.36;5
0.012949;60.33;5
0.012949;60.33;5
0.012948;60.36;5
0.012949;60.33;5
0.012948;60.33;5
0.012949;60.36;5
0.012948;60.33;5
0.012949;60.93;5
0.012948;61.64;5
0.012949;61.73;5
0.012948;61.83;5
0.012948;61.58;5
0.012948;61.75;5
0.012948;60.99;5
0.012948;60.33;5
0.012948;60.27;5
0.012948;60.27;5
0.012948;60.27;5
0.012948;60.27;5
0.012920;60.53;5
0.012919;60.32;5
0.012919;60.32;5
0.012919;60.41;5
0.012918;60.39;5
0.012918;60.34;5
0.012918;60.33;5
0.012918;60.34;5
0.012917;60.32;5
0.012917;60.32;5
0.012917;60.32;5
0.012917;60.33;5
0.012917;60.33;5
0.012916;60.33;5
0.012916;60.33;5
0.012916;60.33;5
0.012916;60.33;5
0.012916;60.33;5
0.012915;60.31;5
0.012915;60.12;5
0.012915;60.13;5
0.012915;60.12;5
0.012915;60.13;5
0.012914;60.13;5
0.012914;60.13;5
0.012914;60.13;5
0.012914;60.13;5
0.012914;60.12;5
0.012914;60.13;5
0.012913;60.13;5
0.012913;60.13;5
0.012913;60.13;5
0.012913;60.06;5
0.012913;60.13;5
0.012913;60.06;5
0.012912;60.07;5
0.012912;60.07;5
0.012912;60.07;5
0.012912;60.06;5
0.012912;60.07;5
0.012912;60.06;5
0.012912;60.06;5
0.012912;60.06;5
0.012911;60.07;5
0.012911;60.07;5
0.012911;60.06;5
0.012911;60.06;5
0.012911;60.07;5
0.012910;60.06;5
0.012910;60.06;5
0.012892;60.31;6
0.012891;60.12;6
0.012891;60.12;6
0.012891;60.13;6
0.012891;60.12;6
0.012891;60.13;6
0.012891;60.12;6
0.012891;60.13;6
0.012891;60.13;6
0.012892;60.13;6
0.012891;60.13;6
0.012891;60.13;6
0.012891;60.12;6
0.012891;60.13;6
0.012891;60.13;6
0.012891;60.13;6
0.012891;60.13;6
0.012890;60.13;6
0.012890;60.13;6
0.012890;60.13;6
0.012891;60.07;6
0.012890;60.07;6
0.012890;60.08;6
0.012890;60.08;6
0.012890;60.07;6
0.012890;60.09;6
0.012890;60.07;6
0.012890;60.07;6
0.012890;60.07;6
0.012890;60.07;6
0.012889;60.07;6
0.012890;60.07;6
0.012890;60.07;6
0.012889;60.07;6
0.012890;60.06;6
0.012889;60.07;6
0.012890;60.06;6
0.012889;60.07;6
0.012889;60.07;6
0.012889;60.06;6
0.012890;60.07;6
0.012889;60.06;6
0.012889;60.06;6
0.012889;60.27;6
0.012889;60.06;6
0.012889;60.06;6
0.012889;60.06;6
0.012888;60.06;6
0.012889;60.07;6
0.012888;60.06;6
0.012902;60.30;6
0.012902;60.13;6
0.012902;60.13;6
0.012902;60.13;6
0.012902;60.13;6
0.012901;60.07;6
