loss;elapsed_time;iteration
0.002391;44.96;0
0.002269;45.87;0
0.002193;44.80;0
0.002143;45.03;0
0.002108;44.57;0
0.002083;45.90;0
0.002064;44.47;0
0.002049;43.37;0
0.002038;43.88;0
0.002030;44.28;0
0.002024;44.30;0
0.002019;45.44;0
0.002016;43.03;0
0.002013;43.00;0
0.002010;42.62;0
0.002008;42.43;0
0.002007;42.54;0
0.002006;42.96;0
0.002004;42.13;0
0.002003;42.64;0
0.002002;42.36;0
0.002002;42.44;0
0.002001;42.25;0
0.002000;42.52;0
0.002000;46.26;0
0.002000;46.77;0
0.001999;46.21;0
0.001999;46.32;0
0.001999;46.25;0
0.001998;46.60;0
0.001998;46.75;0
0.001998;46.95;0
0.001998;45.78;0
0.001998;46.30;0
0.001998;43.43;0
0.001998;43.52;0
0.001997;43.40;0
0.001997;43.49;0
0.001997;43.44;0
0.001997;43.61;0
0.001997;45.20;0
0.001997;44.15;0
0.001997;43.71;0
0.001997;44.20;0
0.001997;43.19;0
0.001997;43.68;0
0.001997;46.28;0
0.001997;46.95;0
0.001997;46.03;0
0.001997;45.32;0
0.001997;44.65;0
0.001997;44.99;0
0.001997;46.22;0
0.001997;46.54;0
0.001997;45.84;0
0.001997;44.90;0
0.001997;45.69;0
0.001997;45.43;0
0.001997;45.04;0
0.001997;45.93;0
0.001997;45.15;0
0.001997;44.21;0
0.001997;42.93;0
0.001997;44.79;0
0.001997;44.63;0
0.001997;44.74;0
0.001997;44.58;0
0.001997;44.70;0
0.001997;44.93;0
0.001997;44.73;0
0.001997;43.91;0
0.001997;44.57;0
0.001997;44.88;0
0.001997;43.72;0
0.001997;44.20;0
0.001997;45.03;0
0.001997;44.25;0
0.001997;41.85;0
0.001997;42.76;0
0.001997;43.79;0
0.001997;44.77;0
0.001997;44.56;0
0.001997;43.96;0
0.001997;44.54;0
0.001997;45.35;0
0.001997;44.46;0
0.001997;44.42;0
0.001997;44.36;0
0.001996;45.20;0
0.001996;44.06;0
0.001996;44.79;0
0.001996;45.37;0
0.001996;45.57;0
0.001996;44.40;0
0.001996;44.05;0
0.001996;44.16;0
0.001996;43.74;0
0.001996;43.31;0
0.001995;43.15;0
0.001995;44.92;0
0.002012;42.59;1
0.002009;44.62;1
0.002007;43.73;1
0.002006;46.90;1
0.002005;45.88;1
0.002004;44.69;1
0.002004;45.82;1
0.002004;45.64;1
0.002003;47.32;1
0.002003;46.12;1
0.002003;46.63;1
0.002003;46.28;1
0.002003;44.76;1
0.002003;45.26;1
0.002003;46.18;1
0.002002;46.19;1
0.002002;44.41;1
0.002002;45.37;1
0.002002;45.99;1
0.002002;45.39;1
0.002002;45.36;1
0.002002;45.08;1
0.002002;45.56;1
0.002002;45.26;1
0.002002;45.58;1
0.002002;45.44;1
0.002002;45.06;1
0.002002;44.93;1
0.002002;45.76;1
0.002002;44.95;1
0.002002;44.49;1
0.002002;45.48;1
0.002002;45.99;1
0.002002;46.30;1
0.002002;45.25;1
0.002002;45.55;1
0.002002;45.57;1
0.002002;45.42;1
0.002002;44.95;1
0.002002;45.15;1
0.002002;45.80;1
0.002002;45.80;1
0.002002;46.12;1
0.002002;46.03;1
0.002002;45.87;1
0.002002;46.02;1
0.002002;45.86;1
0.002002;45.65;1
0.002002;45.65;1
0.002002;45.67;1
0.001994;44.89;1
0.001994;45.20;1
0.001993;45.25;1
0.001993;44.71;1
0.001993;45.12;1
