loss;elapsed_time;iteration
0.113457;29.53;0
0.109508;29.20;0
0.105734;29.13;0
0.102092;28.97;0
0.098588;29.86;0
0.095266;28.99;0
0.092124;28.96;0
0.089108;29.50;0
0.086199;29.32;0
0.083341;29.37;0
0.080514;28.39;0
0.077751;28.66;0
0.075101;28.41;0
0.072582;28.32;0
0.070258;27.97;0
0.068171;27.86;0
0.066269;27.80;0
0.064515;28.68;0
0.062878;28.14;0
0.061337;28.27;0
0.059883;28.73;0
0.058506;28.67;0
0.057192;28.57;0
0.055924;28.37;0
0.054686;28.29;0
0.053468;28.01;0
0.052264;28.10;0
0.051068;29.14;0
0.049881;28.64;0
0.048703;28.73;0
0.047532;28.64;0
0.046370;28.77;0
0.045218;29.15;0
0.044076;28.32;0
0.042945;28.05;0
0.041826;28.11;0
0.040719;28.78;0
0.039625;28.52;0
0.038545;28.93;0
0.037478;28.39;0
0.036427;28.52;0
0.035392;28.73;0
0.034374;28.42;0
0.033374;27.84;0
0.032392;28.60;0
0.031429;28.38;0
0.030485;28.84;0
0.029562;28.27;0
0.028658;28.54;0
0.027775;28.62;0
0.026913;27.80;0
0.026071;27.79;0
0.025249;28.26;0
0.024447;28.15;0
0.023665;28.23;0
0.022903;28.15;0
0.022161;28.26;0
0.021439;28.17;0
0.020737;28.29;0
0.020054;27.97;0
0.019391;27.76;0
0.018747;27.81;0
0.018121;27.74;0
0.017514;27.74;0
0.016925;27.87;0
0.016354;27.75;0
0.015801;27.64;0
0.015265;27.57;0
0.014746;27.63;0
0.014243;28.33;0
0.013758;28.25;0
0.013288;28.23;0
0.012833;28.39;0
0.012394;28.31;0
0.011970;28.23;0
0.011561;28.19;0
0.011165;28.40;0
0.010783;28.21;0
0.010414;28.21;0
0.010058;28.23;0
0.009714;28.15;0
0.009383;28.32;0
0.009063;28.21;0
0.008756;28.12;0
0.008460;28.26;0
0.008175;28.24;0
0.007901;28.26;0
0.007638;28.18;0
0.007386;28.01;0
0.007143;27.67;0
0.006911;28.81;0
0.006688;28.91;0
0.006474;28.82;0
0.006269;28.27;0
0.006072;28.19;0
0.005883;28.22;0
0.005701;28.08;0
0.005526;28.26;0
0.005358;28.37;0
0.005197;28.43;0
0.087767;27.95;1
0.086521;28.06;1
0.085236;28.02;1
0.083881;28.20;1
0.082475;28.10;1
0.081038;28.17;1
0.079574;27.65;1
0.078044;27.74;1
0.076447;27.59;1
0.074828;27.61;1
0.073153;27.61;1
0.071297;27.66;1
0.069381;27.59;1
0.067546;27.65;1
0.065787;27.57;1
0.064096;27.64;1
0.062456;27.61;1
0.060857;27.68;1
0.059297;27.56;1
0.057771;27.79;1
0.056278;27.69;1
0.054818;27.91;1
0.053389;27.78;1
0.051989;28.39;1
0.050618;28.34;1
0.049276;28.35;1
0.047961;28.44;1
0.046671;28.24;1
0.045408;28.38;1
0.044171;28.01;1
0.042960;28.70;1
0.041773;27.74;1
0.040611;28.24;1
0.039474;27.51;1
0.038361;27.64;1
0.037273;27.75;1
0.036209;27.57;1
0.035169;27.16;1
0.034152;27.08;1
0.033160;27.04;1
0.032191;27.11;1
0.031245;27.07;1
0.030323;27.07;1
0.029423;26.96;1
0.028547;27.18;1
0.027692;27.06;1
0.026861;27.19;1
0.026051;27.18;1
0.025263;27.20;1
0.024496;27.29;1
0.021845;27.39;1
0.020570;27.25;1
0.019566;27.38;1
0.018696;27.39;1
0.017909;27.93;1
0.017179;28.17;1
0.016491;27.97;1
0.015836;28.06;1
0.015208;28.08;1
0.014596;28.09;1
0.013962;27.99;1
0.013363;28.01;1
0.012786;27.87;1
0.012231;27.53;1
0.011696;27.82;1
0.011183;28.17;1
0.010691;28.09;1
0.010220;27.56;1
0.009770;27.56;1
0.009340;27.75;1
0.008930;28.11;1
0.008538;27.39;1
0.008163;27.31;1
0.007805;27.71;1
0.007463;28.08;1
0.007135;28.15;1
0.006822;28.06;1
0.006523;28.17;1
0.006238;28.05;1
0.005966;28.05;1
0.005707;28.03;1
0.005460;28.08;1
0.005226;28.06;1
0.005004;28.06;1
0.004794;28.14;1
0.004594;28.20;1
0.004406;28.03;1
0.004228;28.16;1
0.004061;28.02;1
0.003902;28.13;1
0.003753;28.16;1
0.003612;27.93;1
0.003479;27.71;1
0.003354;27.64;1
0.003235;27.52;1
0.003124;27.96;1
0.003019;27.96;1
0.002920;28.03;1
0.002829;28.00;1
0.002743;27.92;1
0.002695;27.38;2
0.002670;27.64;2
0.002646;27.90;2
0.002622;27.94;2
0.002596;27.92;2
0.002570;27.95;2
0.002543;27.87;2
0.002516;27.86;2
0.002488;27.91;2
0.002460;27.73;2
0.002431;27.66;2
0.002403;27.47;2
0.002375;27.50;2
0.002348;27.59;2
0.002321;28.14;2
0.002295;27.90;2
0.002270;28.11;2
0.002246;27.92;2
0.002223;28.01;2
0.002202;28.29;2
0.002181;28.00;2
0.002163;28.18;2
0.002145;28.08;2
0.002129;28.04;2
0.002115;28.03;2
0.002101;28.10;2
0.002089;28.04;2
0.002078;27.91;2
0.002069;27.93;2
0.002060;28.01;2
0.002052;28.14;2
0.002045;27.99;2
0.002039;28.13;2
0.002034;27.71;2
0.002029;27.51;2
0.002025;27.44;2
0.002021;27.50;2
0.002018;27.64;2
0.002015;27.45;2
0.002013;27.50;2
0.002011;27.46;2
0.002009;27.55;2
0.002008;27.50;2
0.002006;27.45;2
0.002006;27.55;2
0.002005;27.48;2
0.002004;27.39;2
0.002004;27.53;2
0.002004;27.69;2
0.002004;28.05;2
0.002012;27.87;2
0.002012;28.02;2
0.002012;28.06;2
0.002012;28.35;2
0.002011;28.13;2
0.002011;28.21;2
0.002011;27.55;2
0.002011;28.00;2
0.002011;27.69;2
0.002011;28.06;2
0.002011;26.99;2
0.002011;28.11;2
0.002011;26.99;2
0.002011;27.53;2
0.002011;27.37;2
0.002011;27.27;2
0.002011;27.71;2
0.002011;27.02;2
0.002011;27.10;2
0.002011;27.05;2
0.002011;27.13;2
0.002011;27.16;2
0.002011;27.35;2
0.002011;27.20;2
0.002011;27.28;2
0.002011;27.36;2
0.002011;27.77;2
0.002011;27.65;2
0.002011;27.58;2
0.002011;27.71;2
0.002011;27.65;2
0.002011;27.66;2
0.002011;27.69;2
0.002011;27.67;2
0.002011;27.65;2
0.002011;27.71;2
0.002011;27.96;2
0.002011;28.01;2
0.002011;27.98;2
0.002011;28.00;2
0.002011;27.92;2
0.002011;28.14;2
0.002011;27.89;2
0.002011;28.05;2
0.002011;28.16;2
0.002011;28.00;2
0.002011;27.69;2
0.002011;27.62;2
0.002011;27.65;2
0.002011;27.46;2
0.002005;27.20;3
0.002004;27.11;3
0.002004;26.97;3
0.002004;27.06;3
0.002004;26.96;3
0.002004;27.76;3
0.002004;26.94;3
0.002004;27.77;3
0.002004;26.97;3
