loss;elapsed_time;iteration
0.002001;33.16;0
0.002001;32.51;0
0.002001;32.35;0
0.002001;32.27;0
0.002001;32.40;0
0.002001;32.47;0
0.002001;32.53;0
0.002001;32.38;0
0.002001;32.63;0
0.002001;33.17;0
0.002001;32.62;0
0.002001;32.96;0
0.002001;32.97;0
0.002001;32.51;0
0.002001;32.66;0
0.002001;32.56;0
0.002001;32.99;0
0.002001;32.27;0
0.002001;32.46;0
0.002001;32.23;0
0.002001;32.52;0
0.002001;32.41;0
0.002001;32.45;0
0.002001;32.42;0
0.002001;32.39;0
0.002001;32.39;0
0.002001;32.41;0
0.002001;32.53;0
0.002001;32.55;0
0.002001;32.61;0
0.002001;32.55;0
0.002001;32.69;0
0.002001;32.50;0
0.002001;32.72;0
0.002001;32.75;0
0.002001;32.73;0
0.002001;32.69;0
0.002001;32.47;0
0.002001;32.57;0
0.002001;32.50;0
0.002001;32.11;0
0.002001;31.55;0
0.002001;31.86;0
0.002001;31.83;0
0.002001;31.68;0
0.002001;31.62;0
0.002001;31.52;0
0.002001;31.46;0
0.002001;31.41;0
0.002001;31.18;0
0.002001;31.31;0
0.002001;31.38;0
0.002001;31.31;0
0.002001;31.19;0
0.002001;31.19;0
0.002001;31.33;0
0.002001;31.34;0
0.002001;31.47;0
0.002001;31.34;0
0.002001;31.24;0
0.002001;31.40;0
0.002001;31.35;0
0.002001;31.38;0
0.002001;31.30;0
0.002001;31.35;0
0.002001;31.57;0
0.002001;31.46;0
0.002001;31.46;0
0.002001;31.56;0
0.002001;31.57;0
0.002001;31.48;0
0.002001;31.52;0
0.002001;31.72;0
0.002001;31.33;0
0.002001;31.30;0
0.002001;31.14;0
0.002001;31.40;0
0.002001;31.38;0
0.002001;31.33;0
0.002001;31.04;0
0.002001;31.17;0
0.002001;31.10;0
0.002001;31.06;0
0.002001;31.12;0
0.002001;31.30;0
0.002001;31.21;0
0.002001;31.08;0
0.002001;31.19;0
0.002001;31.20;0
0.002001;31.10;0
0.002001;31.33;0
0.002001;31.20;0
0.002001;31.22;0
0.002001;31.30;0
0.002001;31.28;0
0.002001;31.14;0
0.002001;31.15;0
0.002001;31.15;0
0.002001;31.29;0
0.002001;31.18;0
0.002000;31.13;1
0.002000;31.18;1
0.002000;31.13;1
0.002000;31.02;1
0.002000;31.13;1
0.002000;31.10;1
0.002000;31.32;1
0.002000;31.54;1
0.002000;31.42;1
0.002000;31.55;1
0.002000;31.32;1
0.002000;31.03;1
0.002000;31.12;1
0.002000;31.09;1
0.002000;30.97;1
0.002000;31.15;1
0.002000;31.01;1
0.002000;30.93;1
0.002000;30.92;1
0.002000;31.33;1
0.002000;31.03;1
0.002000;30.94;1
0.002000;31.61;1
0.002000;31.20;1
0.002000;31.58;1
0.002000;30.92;1
0.002000;31.45;1
0.002000;30.95;1
0.002000;31.62;1
0.002000;31.06;1
0.002000;31.43;1
0.002000;31.13;1
0.002000;30.84;1
0.002000;31.09;1
0.002000;31.14;1
0.002000;31.03;1
0.002000;31.03;1
0.002000;31.07;1
0.002000;30.94;1
0.002000;31.15;1
0.002000;31.05;1
0.002000;30.85;1
0.002000;30.96;1
0.002000;31.09;1
0.002000;31.18;1
0.002000;30.95;1
0.002000;30.80;1
0.002000;31.13;1
0.002000;30.86;1
0.002000;30.82;1
0.002012;30.90;1
0.002012;30.99;1
0.002012;30.92;1
0.002012;31.06;1
0.002012;30.99;1
0.002012;32.08;1
0.002012;31.94;1
0.002012;32.64;1
0.002012;31.42;1
0.002012;31.45;1
0.002012;31.31;1
0.002012;31.38;1
0.002012;31.30;1
0.002012;31.32;1
0.002012;31.11;1
0.002012;31.25;1
0.002012;31.52;1
0.002012;31.17;1
0.002012;31.60;1
0.002012;33.05;1
0.002012;32.09;1
0.002012;31.74;1
0.002012;31.52;1
0.002012;32.15;1
0.002012;32.93;1
0.002012;32.07;1
0.002012;31.81;1
0.002012;31.21;1
0.002012;31.30;1
0.002012;31.28;1
0.002012;33.13;1
0.002012;32.98;1
0.002012;31.57;1
0.002012;31.76;1
0.002012;32.43;1
0.002012;32.10;1
0.002012;32.42;1
0.002012;32.62;1
0.002012;31.76;1
0.002012;31.28;1
0.002012;31.37;1
0.002012;31.19;1
0.002012;31.26;1
0.002012;33.16;1
0.002012;33.11;1
0.002012;32.10;1
0.002012;32.06;1
0.002012;32.07;1
0.002012;31.52;1
0.002012;31.31;1
0.002010;31.75;2
0.002010;31.75;2
0.002010;31.39;2
0.002010;31.55;2
0.002010;31.75;2
0.002010;32.02;2
0.002010;31.91;2
0.002010;32.32;2
0.002010;31.54;2
0.002010;31.71;2
0.002010;31.70;2
0.002010;31.57;2
0.002010;31.55;2
0.002010;31.32;2
0.002010;31.56;2
0.002010;31.44;2
0.002010;31.44;2
0.002010;31.62;2
0.002010;31.43;2
0.002010;31.32;2
0.002010;31.22;2
0.002010;31.49;2
0.002010;31.33;2
0.002010;31.32;2
