loss;elapsed_time;iteration
0.001980;29.07;0
0.001980;27.91;0
0.001980;28.00;0
0.001980;28.10;0
0.001980;27.85;0
0.001980;27.95;0
0.001980;28.14;0
0.001980;27.94;0
0.001980;27.93;0
0.001980;28.03;0
0.001980;28.18;0
0.001980;28.23;0
0.001980;28.17;0
0.001980;28.63;0
0.001980;28.51;0
0.001980;28.38;0
0.001980;28.41;0
0.001980;28.26;0
0.001980;28.25;0
0.001980;28.04;0
0.001980;28.08;0
0.001980;28.34;0
0.001980;28.60;0
0.001980;28.35;0
0.001980;28.31;0
0.001980;28.68;0
0.001980;28.27;0
0.001980;28.59;0
0.001980;28.32;0
0.001980;28.44;0
0.001980;28.09;0
0.001980;28.32;0
0.001980;28.32;0
0.001980;28.14;0
0.001980;28.23;0
0.001980;28.14;0
0.001980;28.08;0
0.001980;28.18;0
0.001980;28.38;0
0.001980;28.34;0
0.001980;28.67;0
0.001980;28.30;0
0.001980;28.20;0
0.001980;28.85;0
0.001980;28.70;0
0.001980;28.14;0
0.001980;28.21;0
0.001980;28.33;0
0.001980;28.31;0
0.001980;28.40;0
0.001980;28.44;0
0.001980;28.30;0
0.001980;28.09;0
0.001980;28.52;0
0.001980;28.31;0
0.001980;28.39;0
0.001980;28.19;0
0.001980;28.38;0
0.001980;28.69;0
0.001980;28.58;0
0.001980;28.66;0
0.001980;28.84;0
0.001980;28.53;0
0.001980;28.42;0
0.001980;28.51;0
0.001980;28.68;0
0.001980;28.47;0
0.001980;28.65;0
0.001980;28.37;0
0.001980;27.93;0
0.001980;28.07;0
0.001980;28.19;0
0.001980;28.37;0
0.001980;28.43;0
0.001980;28.25;0
0.001980;28.32;0
0.001980;28.54;0
0.001980;28.67;0
0.001980;28.20;0
0.001980;28.58;0
0.001980;28.42;0
0.001980;28.23;0
0.001980;28.46;0
0.001980;28.61;0
0.001980;28.61;0
0.001980;28.34;0
0.001980;28.87;0
0.001980;28.51;0
0.001980;28.40;0
0.001980;28.10;0
0.001980;28.35;0
0.001980;28.49;0
0.001980;28.12;0
0.001980;28.33;0
0.001980;27.99;0
0.001980;27.86;0
0.001980;28.03;0
0.001980;28.30;0
0.001980;28.28;0
0.001980;28.34;0
0.001978;28.19;1
0.001978;28.07;1
0.001978;28.49;1
0.001978;28.75;1
0.001978;28.16;1
0.001978;28.22;1
0.001978;28.21;1
0.001978;28.58;1
0.001978;28.24;1
0.001978;28.35;1
0.001978;28.31;1
