loss;elapsed_time;iteration
0.001961;28.04;0
0.001958;28.05;0
0.001958;28.05;0
0.001958;28.21;0
0.001958;28.09;0
0.001958;28.10;0
0.001958;27.73;0
0.001958;27.82;0
0.001957;28.16;0
0.001957;28.34;0
0.001957;28.41;0
0.001957;28.34;0
0.001957;28.09;0
0.001957;28.16;0
0.001957;28.38;0
0.001957;28.13;0
0.001957;28.46;0
0.001957;29.23;0
0.001957;29.19;0
0.001957;29.12;0
0.001956;29.50;0
0.001956;28.87;0
0.001956;29.15;0
0.001956;29.23;0
0.001956;29.69;0
0.001956;29.27;0
0.001956;29.62;0
0.001956;29.52;0
0.001956;29.36;0
0.001956;29.38;0
0.001956;28.81;0
0.001956;29.05;0
0.001956;29.24;0
0.001956;28.77;0
0.001956;29.05;0
0.001956;28.99;0
0.001956;29.13;0
0.001956;28.95;0
0.001956;29.20;0
0.001956;29.20;0
0.001956;29.46;0
0.001956;29.18;0
0.001956;29.51;0
0.001956;28.96;0
0.001956;29.40;0
0.001956;29.57;0
0.001955;29.66;0
0.001955;29.04;0
0.001955;28.77;0
0.001955;29.08;0
0.001955;29.70;0
0.001955;29.35;0
0.001955;29.23;0
0.001955;29.33;0
0.001955;29.33;0
0.001955;29.46;0
0.001955;29.27;0
0.001955;29.25;0
0.001955;29.26;0
0.001955;29.06;0
0.001955;29.61;0
0.001955;29.97;0
0.001955;29.21;0
0.001955;29.39;0
0.001955;29.01;0
0.001955;29.18;0
0.001955;29.13;0
0.001955;29.11;0
0.001955;29.82;0
0.001955;29.36;0
0.001955;29.65;0
0.001955;29.29;0
0.001955;29.63;0
0.001955;29.02;0
0.001955;29.56;0
0.001955;29.27;0
0.001955;29.38;0
0.001955;29.30;0
0.001954;29.11;0
0.001954;29.42;0
0.001954;29.44;0
0.001954;29.25;0
0.001954;29.40;0
0.001954;29.25;0
0.001954;29.45;0
0.001954;29.42;0
0.001954;29.46;0
0.001954;29.55;0
0.001954;29.75;0
0.001954;29.08;0
0.001954;29.34;0
0.001954;29.53;0
0.001954;29.43;0
0.001954;29.64;0
0.001954;29.44;0
0.001954;29.96;0
0.001954;29.32;0
0.001954;29.47;0
0.001954;29.41;0
0.001954;29.52;0
0.001954;28.42;1
0.001958;28.20;1
0.001956;28.61;1
0.001956;27.97;1
0.001956;28.90;1
0.001956;29.31;1
0.001956;29.01;1
0.001956;29.02;1
0.001957;29.29;1
0.001957;29.17;1
0.001957;29.33;1
0.001957;29.59;1
0.001957;29.71;1
0.001955;29.37;1
0.001954;29.21;1
0.001954;29.20;1
0.001953;29.17;1
0.001953;28.94;1
0.001953;28.86;1
0.001953;29.39;1
0.001953;29.61;1
0.001953;29.35;1
0.001952;29.48;1
0.001951;29.50;1
0.001951;28.98;1
0.001951;29.21;1
0.001951;29.37;1
0.001951;29.07;1
0.001950;29.01;1
0.001950;29.53;1
0.001950;29.39;1
0.001950;29.56;1
0.001950;29.39;1
0.001950;29.33;1
0.001950;29.32;1
0.001950;29.03;1
0.001950;29.40;1
0.001950;29.33;1
0.001950;29.05;1
0.001950;29.30;1
0.001950;29.49;1
0.001950;29.42;1
0.001950;29.51;1
0.001950;29.14;1
0.001950;28.91;1
0.001950;29.30;1
0.001950;29.25;1
0.001950;29.23;1
0.001950;29.26;1
0.001950;29.54;1
0.001970;28.19;1
0.001969;28.55;1
0.001969;28.71;1
0.001969;29.25;1
0.001969;29.26;1
0.001969;29.50;1
0.001969;29.02;1
0.001969;28.91;1
0.001969;28.83;1
0.001969;29.21;1
0.001969;28.99;1
0.001969;28.78;1
0.001969;29.12;1
0.001969;29.15;1
0.001969;29.32;1
0.001969;29.18;1
0.001969;28.79;1
0.001969;28.96;1
0.001969;28.94;1
0.001969;28.84;1
0.001969;28.98;1
0.001969;28.96;1
0.001969;28.82;1
0.001969;28.75;1
0.001969;29.29;1
0.001969;29.07;1
0.001969;28.66;1
0.001969;28.99;1
0.001969;28.84;1
0.001969;28.93;1
0.001968;28.94;1
0.001968;29.00;1
0.001968;29.01;1
0.001968;28.77;1
0.001968;28.79;1
0.001968;28.79;1
0.001968;28.65;1
0.001968;28.88;1
0.001968;29.18;1
0.001968;29.63;1
0.001968;29.34;1
0.001968;29.66;1
0.001968;29.27;1
0.001968;28.99;1
0.001968;28.98;1
0.001968;28.75;1
0.001968;28.86;1
0.001968;28.65;1
0.001968;29.07;1
0.001968;29.36;1
0.001957;27.68;2
0.001957;28.26;2
0.001957;29.41;2
0.001957;29.12;2
0.001957;29.32;2
0.001957;28.86;2
0.001957;28.58;2
0.001957;29.09;2
0.001957;29.33;2
0.001957;29.33;2
0.001957;29.40;2
0.001957;29.29;2
0.001957;29.03;2
0.001957;29.31;2
0.001957;28.93;2
0.001957;29.11;2
0.001957;28.96;2
0.001957;29.05;2
0.001957;28.67;2
0.001957;28.73;2
0.001957;29.20;2
0.001957;28.80;2
0.001957;29.13;2
0.001957;29.04;2
0.001957;29.15;2
0.001957;28.92;2
0.001957;29.06;2
0.001957;28.84;2
0.001957;28.76;2
0.001957;28.90;2
0.001957;28.86;2
0.001957;29.09;2
0.001957;29.18;2
0.001957;28.71;2
0.001957;28.82;2
0.001957;28.80;2
0.001957;28.81;2
0.001957;28.95;2
0.001957;28.70;2
0.001957;29.31;2
0.001957;28.72;2
0.001957;29.17;2
0.001957;29.53;2
0.001957;29.57;2
0.001957;29.39;2
0.001957;29.34;2
0.001957;28.56;2
0.001957;28.66;2
0.001957;28.67;2
0.001957;28.78;2
0.001980;28.06;2
0.001979;28.54;2
0.001978;28.97;2
0.001978;29.02;2
0.001978;29.10;2
0.001978;28.98;2
0.001978;28.91;2
0.001978;29.13;2
0.001978;29.38;2
0.001978;29.05;2
0.001978;28.75;2
0.001978;28.54;2
0.001978;28.80;2
0.001978;29.08;2
0.001977;29.07;2
0.001977;29.14;2
nan;29.12;2
nan;29.06;2
nan;29.05;2
nan;29.06;2
nan;28.82;2
nan;28.95;2
nan;28.81;2
nan;29.71;2
nan;29.07;2
nan;29.03;2
nan;28.80;2
nan;28.82;2
nan;28.98;2
nan;29.40;2
nan;29.19;2
nan;29.39;2
nan;28.98;2
nan;29.15;2
nan;28.96;2
nan;28.83;2
nan;29.23;2
nan;29.21;2
nan;29.11;2
nan;29.55;2
nan;29.35;2
nan;29.07;2
nan;29.00;2
nan;29.28;2
nan;29.02;2
nan;29.26;2
nan;28.96;2
nan;28.98;2
nan;29.24;2
nan;29.17;2
nan;28.01;3
nan;28.14;3
nan;28.29;3
nan;28.86;3
nan;28.72;3
nan;29.00;3
nan;29.32;3
nan;28.77;3
nan;28.82;3
nan;29.19;3
nan;29.13;3
nan;28.92;3
nan;28.67;3
nan;28.87;3
nan;28.81;3
nan;29.18;3
nan;28.77;3
nan;28.72;3
nan;29.12;3
nan;29.63;3
nan;29.28;3
nan;29.20;3
nan;29.21;3
nan;29.63;3
nan;29.71;3
nan;29.48;3
