,iteration,BottleneckKAGN_16_8_16_et,FastKAN_128_8_128_et,FastKAN_16_8_16_et,FastKAN_256_128_256_et,ReluKAN_16_8_16_et,ReluKAN_256_128_256_et,SQuIRELS_16_8_16_et,SQuIRELS_256_128_256_et,WavKAN_16_8_16_et
0,0,33.16,30.75,31.91,31.18,31.29,111.69,31.68,30.21,34.81
1,0,32.51,32.73,30.96,30.87,30.32,110.74,31.56,29.67,34.56
2,0,32.35,31.57,30.8,31.07,30.3,110.75,31.94,30.38,32.74
3,0,32.27,31.63,30.94,31.01,30.29,110.7,31.51,30.02,32.94
4,0,32.4,32.94,30.85,31.06,30.18,110.68,31.29,30.44,34.3
5,0,32.47,32.76,30.79,31.04,30.26,110.76,31.38,29.76,34.41
6,0,32.53,32.22,30.92,31.11,30.18,110.69,31.24,30.25,34.26
7,0,32.38,33.95,30.75,31.03,30.25,110.72,31.33,29.83,32.6
8,0,32.63,32.1,31.04,31.01,30.11,110.71,31.41,29.68,32.6
9,0,33.17,32.8,30.92,30.93,30.41,110.74,31.48,29.65,32.39
10,0,32.62,32.85,31.21,30.9,30.37,110.74,31.55,29.62,32.68
11,0,32.96,32.8,30.5,31.1,30.39,110.74,31.35,29.57,32.4
12,0,32.97,31.33,30.5,30.86,30.37,110.7,31.49,29.67,32.31
13,0,32.51,30.76,30.33,30.49,30.22,110.74,31.42,29.85,31.96
14,0,32.66,30.71,30.37,30.32,30.44,110.43,31.56,29.84,31.44
15,0,32.56,30.8,30.58,30.33,30.87,110.43,31.59,29.68,31.39
16,0,32.99,30.8,30.68,30.26,30.81,110.42,31.38,29.82,31.68
17,0,32.27,30.79,30.33,30.31,30.83,110.42,31.49,29.82,31.63
18,0,32.46,31.22,29.94,30.24,30.71,110.42,31.33,29.79,30.84
19,0,32.23,30.86,29.91,30.18,30.78,110.42,31.41,30.32,30.19
20,0,32.52,30.94,29.69,30.11,30.66,110.44,31.51,29.62,30.66
21,0,32.41,30.82,29.4,30.12,30.62,110.42,31.53,30.19,30.43
22,0,32.45,30.83,29.16,30.16,30.68,110.42,31.5,29.58,30.04
23,0,32.42,30.92,29.02,30.23,30.48,110.42,31.47,30.07,31.1
24,0,32.39,30.93,29.0,30.21,30.61,110.41,31.6,29.52,31.31
25,0,32.39,30.95,29.04,30.34,30.55,110.43,31.46,30.16,31.33
26,0,32.41,30.88,28.85,30.15,30.4,110.42,31.46,29.69,31.22
27,0,32.53,31.02,29.09,30.24,29.88,110.43,31.48,30.35,30.65
28,0,32.55,30.89,28.97,30.27,29.68,110.42,31.48,29.86,30.31
29,0,32.61,30.93,29.01,30.27,29.68,110.43,31.53,29.9,30.4
30,0,32.55,30.67,29.06,30.43,30.93,110.42,31.56,29.82,30.37
31,0,32.69,30.74,29.1,30.31,30.11,110.6,31.35,29.75,30.5
32,0,32.5,30.61,29.01,30.28,30.62,110.43,31.36,29.86,30.38
33,0,32.72,30.53,29.03,30.26,30.53,110.42,31.43,29.73,30.33
34,0,32.75,30.59,29.28,30.26,30.56,110.42,31.24,29.81,30.36
35,0,32.73,30.85,29.26,30.17,30.32,110.42,31.35,29.71,30.26
36,0,32.69,30.8,29.32,30.27,29.96,110.42,31.22,29.79,30.32
37,0,32.47,30.44,29.26,30.24,29.85,110.42,31.45,29.78,30.37
38,0,32.57,30.19,29.26,30.16,29.88,110.42,31.3,29.74,30.3
39,0,32.5,30.74,29.33,30.2,29.76,110.43,31.44,29.88,30.27
40,0,32.11,29.74,29.23,30.21,30.0,110.42,31.44,29.47,30.11
41,0,31.55,29.66,29.26,30.24,29.93,110.42,31.22,29.65,30.24
42,0,31.86,29.59,29.29,30.32,29.84,110.42,30.95,29.83,30.39
43,0,31.83,29.53,29.39,30.25,29.78,110.43,30.95,29.81,30.22
44,0,31.68,29.52,29.38,30.34,29.8,110.42,30.92,29.84,30.29
45,0,31.62,29.64,29.77,30.3,29.76,110.42,30.89,29.68,30.49
46,0,31.52,29.54,29.36,30.39,29.71,110.42,30.99,29.72,30.21
47,0,31.46,29.73,29.91,30.39,29.86,110.43,30.85,29.75,30.29
48,0,31.41,29.54,29.36,30.25,29.72,110.42,30.91,29.65,30.18
49,0,31.18,29.65,29.95,30.17,29.75,110.43,30.86,29.47,30.08
50,0,31.31,29.6,29.35,30.22,29.71,110.45,30.92,29.73,30.11
51,0,31.38,29.77,29.95,30.19,29.71,110.4,31.16,29.47,29.96
52,0,31.31,29.69,29.22,30.21,29.93,110.43,30.91,29.59,30.08
53,0,31.19,30.32,29.87,30.2,29.9,110.41,31.03,28.89,30.02
54,0,31.19,29.71,29.38,30.18,29.93,110.42,30.88,28.68,30.02
55,0,31.33,30.58,29.42,29.99,29.91,110.43,30.78,28.73,30.15
56,0,31.34,29.86,29.46,30.02,29.57,110.43,30.86,28.78,30.03
57,0,31.47,30.49,29.23,30.07,29.55,110.41,30.73,28.74,30.26
58,0,31.34,29.84,28.85,29.97,30.83,110.43,30.79,28.77,30.32
59,0,31.24,30.6,28.95,30.09,30.16,110.43,30.98,28.85,30.26
60,0,31.4,29.87,29.06,30.01,30.15,110.42,30.9,28.91,30.3
61,0,31.35,30.49,29.04,30.06,30.51,110.42,31.03,28.83,30.42
62,0,31.38,29.91,28.96,30.06,29.89,110.43,30.94,28.88,30.36
63,0,31.3,29.92,28.97,30.03,30.35,110.59,30.98,28.7,30.42
64,0,31.35,30.07,28.95,30.2,29.76,110.43,30.9,28.64,30.13
65,0,31.57,29.9,29.31,30.16,30.25,110.45,30.87,28.71,30.03
66,0,31.46,29.95,29.01,30.1,29.78,110.4,32.3,28.59,30.05
67,0,31.46,29.77,29.28,30.06,30.18,110.42,30.98,28.73,30.08
68,0,31.56,29.92,28.98,30.04,29.63,110.42,31.76,28.71,29.82
69,0,31.57,29.9,29.41,30.02,29.56,110.42,30.94,28.78,30.0
70,0,31.48,29.94,29.19,30.16,29.53,110.43,31.85,28.57,29.96
71,0,31.52,29.85,29.17,30.2,29.36,110.43,31.22,28.7,29.9
72,0,31.72,29.93,29.28,30.15,29.59,110.43,31.64,28.95,29.74
73,0,31.33,29.93,29.28,30.16,29.5,110.42,31.27,28.98,29.85
74,0,31.3,29.93,29.24,30.09,29.48,110.42,31.56,28.84,29.83
75,0,31.14,30.09,29.8,30.21,29.62,110.42,31.02,28.66,29.87
76,0,31.4,30.08,29.35,30.1,29.5,110.43,31.01,28.66,29.78
77,0,31.38,29.96,29.19,30.22,29.53,110.42,31.12,28.86,29.76
78,0,31.33,30.14,29.38,30.21,29.51,110.42,30.9,28.99,29.83
79,0,31.04,30.02,29.22,30.15,29.6,110.42,30.93,28.98,29.78
80,0,31.17,29.91,29.3,30.14,29.5,110.44,31.1,29.02,29.86
81,0,31.1,29.98,29.27,30.29,29.55,110.42,31.0,29.1,30.11
82,0,31.06,29.95,29.24,30.14,29.72,110.42,30.99,29.3,30.11
83,0,31.12,30.0,29.3,30.13,29.62,110.42,30.93,29.03,30.2
84,0,31.3,30.08,29.27,30.17,30.68,110.42,30.96,29.09,30.05
85,0,31.21,29.94,29.18,30.12,29.68,110.43,31.04,29.05,30.1
86,0,31.08,29.99,29.26,30.22,29.52,110.42,31.06,28.97,30.19
87,0,31.19,29.96,29.21,30.16,29.55,110.43,30.94,29.09,30.05
88,0,31.2,30.0,29.21,30.12,29.48,110.42,31.16,28.88,30.16
89,0,31.1,29.88,29.19,30.17,29.46,110.42,31.16,28.9,30.16
90,0,31.33,29.8,29.39,30.14,29.63,110.43,30.99,29.02,30.21
91,0,31.2,29.87,29.18,30.05,29.6,110.42,31.1,28.98,30.18
92,0,31.22,30.0,29.34,30.08,29.57,110.42,30.85,29.0,30.23
93,0,31.3,29.98,29.37,30.25,29.63,110.42,30.94,29.15,30.16
94,0,31.28,30.07,29.39,30.1,29.44,110.43,30.9,28.88,30.21
95,0,31.14,29.92,29.43,30.02,29.37,110.43,31.31,28.96,30.21
96,0,31.15,29.98,29.47,30.2,29.49,110.59,30.98,28.9,30.19
97,0,31.15,29.81,29.42,30.3,29.58,110.42,31.04,29.03,30.22
98,0,31.29,29.51,29.26,30.23,29.69,110.43,31.06,29.07,30.16
99,0,31.18,29.56,29.23,30.13,29.74,110.42,30.9,29.05,30.17
100,1,31.13,29.31,29.9,29.69,29.36,110.44,30.64,28.57,30.23
101,1,31.18,29.84,30.13,29.76,29.69,110.43,30.76,28.69,30.38
102,1,31.13,29.63,30.15,29.72,29.87,110.42,31.42,28.55,30.53
103,1,31.02,29.57,29.93,29.74,29.96,110.43,31.08,28.6,30.52
104,1,31.13,29.51,29.77,29.78,29.77,110.42,31.29,28.58,30.53
105,1,31.1,29.8,29.75,29.68,29.35,110.43,30.99,28.54,30.61
106,1,31.32,29.6,29.67,29.71,29.17,110.42,31.47,28.69,30.3
107,1,31.54,29.55,29.67,29.74,30.37,110.42,31.06,28.57,30.22
108,1,31.42,29.34,29.7,29.81,29.59,110.42,31.47,28.62,30.11
109,1,31.55,29.59,29.66,29.8,29.88,110.42,30.8,28.74,30.06
110,1,31.32,29.58,29.65,29.75,29.89,110.44,31.99,28.71,30.11
111,1,31.03,29.54,29.7,29.71,29.88,110.5,30.73,28.7,30.03
112,1,31.12,29.53,29.63,29.73,30.3,110.42,31.66,28.77,30.08
113,1,31.09,29.51,29.53,29.7,30.12,110.42,31.09,28.67,30.0
114,1,30.97,29.63,29.6,29.81,30.21,110.43,31.02,28.69,30.19
115,1,31.15,29.5,29.53,29.75,30.05,110.42,31.07,28.75,30.13
116,1,31.01,29.52,29.57,29.67,30.09,110.43,30.88,28.84,30.25
117,1,30.93,29.59,29.61,29.7,29.96,110.42,30.99,28.6,30.09
118,1,30.92,29.57,29.73,29.68,30.07,110.43,30.81,28.97,30.45
119,1,31.33,29.61,29.57,29.64,29.98,110.42,30.67,29.47,30.13
120,1,31.03,29.61,29.66,29.72,29.97,110.42,30.84,30.07,30.57
121,1,30.94,29.73,29.96,29.67,30.11,110.42,30.75,28.77,30.45
122,1,31.61,29.9,30.3,29.78,30.06,110.43,30.79,29.02,31.13
123,1,31.2,29.77,30.06,29.66,30.15,110.43,30.92,28.64,30.74
124,1,31.58,29.78,29.44,29.78,29.5,110.42,30.98,29.11,31.16
