loss;elapsed_time;iteration
0.016107;30.75;0
0.008554;32.73;0
0.006128;31.57;0
0.004989;31.63;0
0.004326;32.94;0
0.003876;32.76;0
0.003543;32.22;0
0.003289;33.95;0
0.003089;32.10;0
0.002931;32.80;0
0.002806;32.85;0
0.002702;32.80;0
0.002619;31.33;0
0.002555;30.76;0
0.002497;30.71;0
0.002448;30.80;0
0.002406;30.80;0
0.002371;30.79;0
0.002342;31.22;0
0.002317;30.86;0
0.002293;30.94;0
0.002270;30.82;0
0.002250;30.83;0
0.002234;30.92;0
0.002217;30.93;0
0.002199;30.95;0
0.002184;30.88;0
0.002172;31.02;0
0.002160;30.89;0
0.002150;30.93;0
0.002151;30.67;0
0.002148;30.74;0
0.002133;30.61;0
0.002123;30.53;0
0.002123;30.59;0
0.002112;30.85;0
0.002092;30.80;0
0.002082;30.44;0
0.002090;30.19;0
0.002084;30.74;0
0.002074;29.74;0
0.002070;29.66;0
0.002071;29.59;0
0.002067;29.53;0
0.002063;29.52;0
0.002060;29.64;0
0.002057;29.54;0
0.002058;29.73;0
0.002064;29.54;0
0.002070;29.65;0
0.002074;29.60;0
0.002072;29.77;0
0.002069;29.69;0
0.002067;30.32;0
0.002066;29.71;0
0.002065;30.58;0
0.002062;29.86;0
0.002057;30.49;0
0.002053;29.84;0
0.002049;30.60;0
0.002046;29.87;0
0.002043;30.49;0
0.002041;29.91;0
0.002039;29.92;0
0.002037;30.07;0
0.002035;29.90;0
0.002034;29.95;0
0.002032;29.77;0
0.002031;29.92;0
0.002030;29.90;0
0.002029;29.94;0
0.002028;29.85;0
0.002027;29.93;0
0.002027;29.93;0
0.002026;29.93;0
0.002025;30.09;0
0.002024;30.08;0
0.002023;29.96;0
0.002023;30.14;0
0.002022;30.02;0
0.002021;29.91;0
0.002021;29.98;0
0.002021;29.95;0
0.002020;30.00;0
0.002020;30.08;0
0.002019;29.94;0
0.002019;29.99;0
0.002019;29.96;0
0.002018;30.00;0
0.002018;29.88;0
0.002017;29.80;0
0.002017;29.87;0
0.002017;30.00;0
0.002016;29.98;0
0.002016;30.07;0
0.002016;29.92;0
0.002015;29.98;0
0.002015;29.81;0
0.002015;29.51;0
0.002014;29.56;0
0.025102;29.31;1
0.014496;29.84;1
0.011157;29.63;1
0.009376;29.57;1
0.008299;29.51;1
0.007590;29.80;1
0.007096;29.60;1
0.006743;29.55;1
0.006479;29.34;1
0.006271;29.59;1
0.006109;29.58;1
0.005982;29.54;1
0.005877;29.53;1
0.005789;29.51;1
0.005719;29.63;1
0.005663;29.50;1
0.005616;29.52;1
0.005576;29.59;1
0.005545;29.57;1
0.005515;29.61;1
0.005481;29.61;1
0.005445;29.73;1
0.005408;29.90;1
0.005369;29.77;1
0.005337;29.78;1
0.005330;29.73;1
0.005338;29.81;1
0.005348;29.86;1
0.005343;29.90;1
0.005311;29.96;1
0.005286;29.82;1
0.005275;29.77;1
0.005259;29.85;1
0.005223;29.79;1
0.005179;29.82;1
0.005141;29.87;1
0.005114;29.82;1
0.005096;29.63;1
0.005082;29.78;1
0.005071;29.80;1
0.005062;29.72;1
0.005053;29.64;1
0.005045;29.62;1
0.005036;29.76;1
0.005028;29.69;1
0.005020;29.69;1
0.005012;29.89;1
0.005004;29.67;1
0.004996;29.66;1
0.004989;29.62;1
0.003528;29.14;1
0.003469;29.52;1
0.003383;29.51;1
0.003328;29.46;1
0.003311;29.49;1
0.003303;29.58;1
0.003289;29.47;1
0.003275;29.47;1
0.003264;29.63;1
0.003254;29.38;1
0.003241;29.91;1
0.003221;29.37;1
0.003207;29.55;1
0.003201;29.62;1
0.003198;29.51;1
0.003195;29.63;1
0.003192;29.43;1
0.003190;29.57;1
0.003187;29.56;1
0.003185;29.45;1
0.003183;29.52;1
0.003181;29.53;1
0.003180;29.41;1
0.003178;29.97;1
0.003176;29.65;1
0.003175;29.85;1
0.003173;29.76;1
0.003172;30.20;1
0.003170;30.00;1
0.003169;30.04;1
0.003167;30.02;1
0.003166;30.27;1
0.003164;29.94;1
0.003163;29.63;1
0.003161;29.81;1
0.003160;29.67;1
0.003158;30.09;1
0.003157;29.77;1
0.003155;29.76;1
0.003154;29.57;1
0.003152;29.57;1
0.003151;29.62;1
0.003149;29.72;1
0.003148;29.66;1
0.003146;29.72;1
0.003145;29.68;1
0.003143;29.73;1
0.003142;29.65;1
0.003140;29.95;1
0.003139;30.11;1
0.004710;29.36;2
0.004483;29.56;2
0.004332;29.51;2
0.004202;29.52;2
0.004143;29.52;2
0.004105;29.53;2
0.004075;29.65;2
0.004052;29.57;2
0.004033;29.67;2
0.004016;29.44;2
0.004002;29.59;2
0.003990;29.70;2
0.003979;29.68;2
0.003969;29.58;2
0.003960;29.56;2
0.003952;29.62;2
0.003945;29.49;2
0.003938;29.89;2
0.003932;29.96;2
0.003926;29.89;2
0.003921;29.91;2
0.003916;29.80;2
0.003911;29.94;2
0.003906;29.90;2
0.003902;29.78;2
0.003898;29.80;2
0.003895;29.87;2
0.003891;29.81;2
0.003888;29.85;2
0.003885;29.87;2
0.003881;30.69;2
0.003879;30.15;2
0.003876;30.13;2
0.003873;30.05;2
0.003871;29.94;2
0.003869;29.63;2
0.003866;29.45;2
0.003864;29.37;2
0.003862;29.54;2
0.003860;29.46;2
0.003858;29.43;2
0.003856;29.32;2
0.003853;29.56;2
0.003851;29.52;2
0.003849;29.47;2
0.003846;29.60;2
0.003844;29.55;2
0.003841;29.50;2
