loss;elapsed_time;iteration
0.035004;31.68;0
0.029589;31.56;0
0.025069;31.94;0
0.021278;31.51;0
0.018184;31.29;0
0.015629;31.38;0
0.013507;31.24;0
0.011774;31.33;0
0.010320;31.41;0
0.009040;31.48;0
0.007897;31.55;0
0.006875;31.35;0
0.005962;31.49;0
0.005161;31.42;0
0.004453;31.56;0
0.003867;31.59;0
0.003418;31.38;0
0.003082;31.49;0
0.002828;31.33;0
0.002659;31.41;0
0.002553;31.51;0
0.002476;31.53;0
0.002392;31.50;0
0.002325;31.47;0
0.002273;31.60;0
0.002231;31.46;0
0.002194;31.46;0
0.002163;31.48;0
0.002136;31.48;0
0.002112;31.53;0
0.002090;31.56;0
0.002071;31.35;0
0.002055;31.36;0
0.002040;31.43;0
0.002028;31.24;0
0.002017;31.35;0
0.002008;31.22;0
0.002001;31.45;0
0.001995;31.30;0
0.001990;31.44;0
0.001986;31.44;0
0.001983;31.22;0
0.001980;30.95;0
0.001978;30.95;0
0.001977;30.92;0
0.001975;30.89;0
0.001974;30.99;0
0.001974;30.85;0
0.001973;30.91;0
0.001972;30.86;0
0.001972;30.92;0
0.001972;31.16;0
0.001971;30.91;0
0.001971;31.03;0
0.001970;30.88;0
0.001970;30.78;0
0.001970;30.86;0
0.001970;30.73;0
0.001969;30.79;0
0.001969;30.98;0
0.001969;30.90;0
0.001968;31.03;0
0.001968;30.94;0
0.001968;30.98;0
0.001968;30.90;0
0.001968;30.87;0
0.001967;32.30;0
0.001967;30.98;0
0.001967;31.76;0
0.001967;30.94;0
0.001967;31.85;0
0.001967;31.22;0
0.001967;31.64;0
0.001966;31.27;0
0.001966;31.56;0
0.001966;31.02;0
0.001966;31.01;0
0.001966;31.12;0
0.001966;30.90;0
0.001966;30.93;0
0.001966;31.10;0
0.001966;31.00;0
0.001966;30.99;0
0.001966;30.93;0
0.001966;30.96;0
0.001966;31.04;0
0.001966;31.06;0
0.001966;30.94;0
0.001966;31.16;0
0.001966;31.16;0
0.001966;30.99;0
0.001965;31.10;0
0.001965;30.85;0
0.001965;30.94;0
0.001965;30.90;0
0.001965;31.31;0
0.001965;30.98;0
0.001965;31.04;0
0.001965;31.06;0
0.001965;30.90;0
0.003019;30.64;1
0.002635;30.76;1
0.002389;31.42;1
0.002249;31.08;1
0.002176;31.29;1
0.002135;30.99;1
0.002108;31.47;1
0.002087;31.06;1
0.002069;31.47;1
0.002053;30.80;1
0.002040;31.99;1
0.002028;30.73;1
0.002019;31.66;1
0.002013;31.09;1
0.002008;31.02;1
0.002003;31.07;1
0.001999;30.88;1
0.001996;30.99;1
0.001993;30.81;1
0.001991;30.67;1
0.001989;30.84;1
0.001987;30.75;1
0.001985;30.79;1
0.001984;30.92;1
0.001982;30.98;1
0.001981;30.97;1
0.001980;30.84;1
0.001979;30.96;1
0.001978;30.86;1
0.001977;31.17;1
0.001976;30.82;1
0.001975;30.94;1
0.001974;30.99;1
0.001973;30.85;1
0.001972;30.98;1
0.001971;30.87;1
0.001971;30.92;1
0.001970;30.95;1
0.001969;30.91;1
0.001968;30.81;1
0.001968;31.00;1
0.001967;30.99;1
0.001966;30.94;1
0.001966;31.05;1
0.001966;31.05;1
0.001965;31.04;1
0.001965;30.96;1
0.001965;30.74;1
0.001965;30.91;1
0.001964;31.10;1
0.001947;30.68;1
0.001946;31.02;1
0.001946;30.82;1
0.001945;30.57;1
0.001945;30.84;1
0.001945;30.69;1
0.001944;30.65;1
0.001944;30.75;1
0.001944;30.85;1
0.001944;30.50;1
0.001943;30.63;1
0.001943;30.60;1
0.001943;30.47;1
0.001943;30.61;1
0.001943;30.57;1
0.001942;30.52;1
0.001942;30.49;1
0.001942;30.70;1
0.001942;30.62;1
0.001942;30.68;1
0.001942;30.70;1
0.001941;30.70;1
0.001941;30.55;1
0.001941;30.51;1
0.001941;30.64;1
0.001941;30.52;1
0.001940;30.60;1
0.001940;30.63;1
0.001940;30.84;1
0.001940;30.77;1
0.001940;30.83;1
0.001940;30.68;1
0.001940;30.85;1
0.001940;30.62;1
0.001939;30.48;1
0.001939;30.65;1
0.001939;30.60;1
0.001939;30.57;1
0.001939;30.55;1
0.001939;30.66;1
0.001939;30.64;1
0.001939;30.58;1
0.001938;30.79;1
0.001938;30.61;1
0.001938;30.71;1
0.001938;30.73;1
0.001938;30.77;1
0.001938;30.82;1
0.001938;30.72;1
0.001938;30.76;1
0.001989;30.38;2
0.001988;30.50;2
0.001988;30.51;2
0.001988;30.44;2
0.001988;30.42;2
0.001988;30.58;2
0.001987;30.53;2
0.001987;30.59;2
0.001987;30.67;2
0.001987;30.51;2
0.001987;30.49;2
0.001987;30.52;2
0.001987;30.55;2
0.001987;30.60;2
0.001987;30.56;2
0.001987;30.37;2
0.001987;30.54;2
0.001987;30.47;2
0.001987;30.56;2
0.001987;31.31;2
0.001986;30.66;2
0.001986;31.34;2
0.001986;30.57;2
0.001986;31.35;2
0.001986;30.36;2
0.001986;31.25;2
0.001986;30.50;2
0.001986;31.33;2
0.001986;30.62;2
0.001986;31.44;2
0.001986;30.72;2
0.001986;30.80;2
0.001986;30.61;2
0.001986;30.65;2
0.001986;30.70;2
0.001986;30.68;2
0.001986;30.62;2
0.001986;30.76;2
0.001986;30.76;2
0.001986;30.62;2
0.001986;30.58;2
0.001986;30.69;2
0.001986;30.69;2
0.001986;30.83;2
0.001986;30.60;2
0.001986;30.66;2
0.001986;30.73;2
0.001986;30.88;2
0.001986;30.77;2
0.001986;30.65;2
0.001996;30.41;2
0.001996;30.57;2
0.001996;30.39;2
0.001995;30.37;2
0.001995;30.50;2
0.001995;30.59;2
0.001995;30.31;2
0.001995;30.56;2
0.001995;30.48;2
0.001995;30.65;2
0.001995;30.49;2
0.001995;30.44;2
0.001995;30.58;2
0.001995;30.53;2
0.001994;30.57;2
0.001994;30.62;2
0.001994;30.50;2
0.001994;30.51;2
0.001994;30.61;2
0.001994;30.52;2
0.001994;30.42;2
0.001994;30.45;2
0.001994;30.49;2
0.001994;31.07;2
0.001994;30.54;2
0.001994;30.63;2
0.001994;30.63;2
0.001994;30.72;2
0.001994;31.43;2
0.001994;30.66;2
0.001994;31.31;2
0.001993;30.64;2
0.001993;31.21;2
0.001993;30.64;2
0.001993;31.25;2
0.001993;30.65;2
0.001993;31.29;2
0.001993;30.60;2
0.001993;30.61;2
0.001993;30.73;2
0.001993;30.64;2
0.001993;30.61;2
0.001993;30.71;2
0.001993;30.77;2
0.001993;30.81;2
0.001993;30.70;2
0.001993;30.53;2
0.001993;30.69;2
0.001993;30.63;2
0.001993;30.82;2
0.001931;30.26;3
0.001931;30.60;3
0.001931;30.52;3
0.001931;30.68;3
0.001931;30.42;3
0.001931;30.47;3
0.001931;30.63;3
0.001930;30.59;3
0.001930;30.68;3
0.001930;30.52;3
0.001930;30.55;3
0.001930;30.61;3
0.001930;30.54;3
0.001930;30.68;3
0.001930;30.54;3
0.001930;30.58;3
0.001930;30.75;3
0.001930;30.65;3
0.001930;30.59;3
0.001930;30.63;3
0.001930;30.74;3
0.001930;30.83;3
0.001930;30.78;3
0.001930;30.71;3
0.001930;30.57;3
0.001930;30.72;3
0.001930;30.73;3
0.001930;30.90;3
0.001930;30.70;3
0.001930;30.84;3
0.001930;30.96;3
0.001930;30.96;3
0.001930;30.94;3
0.001930;30.96;3
0.001930;30.88;3
0.001930;30.86;3
0.001930;31.62;3
0.001930;31.02;3
0.001930;31.43;3
0.001930;30.96;3
0.001930;31.55;3
0.001930;30.92;3
0.001930;31.73;3
0.001930;30.87;3
0.001930;31.72;3
0.001930;30.77;3
0.001930;31.64;3
0.001930;30.77;3
0.001930;30.87;3
0.001930;30.86;3
0.001968;30.73;3
0.001968;31.08;3
0.001968;30.81;3
0.001968;30.78;3
0.001968;30.82;3
0.001968;30.85;3
0.001968;30.83;3
0.001968;30.76;3
0.001968;30.89;3
0.001968;30.92;3
0.001968;31.16;3
0.001968;30.95;3
0.001968;30.78;3
0.001968;30.79;3
0.001967;30.86;3
0.001967;30.82;3
0.001967;30.76;3
0.001967;30.87;3
0.001967;30.83;3
0.001967;30.88;3
0.001967;30.92;3
