loss;elapsed_time;iteration
0.997828;34.81;0
0.994541;34.56;0
0.991368;32.74;0
0.988234;32.94;0
0.985192;34.30;0
0.982233;34.41;0
0.979341;34.26;0
0.976499;32.60;0
0.973709;32.60;0
0.970981;32.39;0
0.968310;32.68;0
0.965687;32.40;0
0.963104;32.31;0
0.960553;31.96;0
0.958034;31.44;0
0.955539;31.39;0
0.953078;31.68;0
0.950643;31.63;0
0.948227;30.84;0
0.945828;30.19;0
0.943444;30.66;0
0.941073;30.43;0
0.938715;30.04;0
0.936367;31.10;0
0.934029;31.31;0
0.931699;31.33;0
0.929378;31.22;0
0.927065;30.65;0
0.924759;30.31;0
0.922458;30.40;0
0.920163;30.37;0
0.917873;30.50;0
0.915589;30.38;0
0.913308;30.33;0
0.911033;30.36;0
0.908761;30.26;0
0.906493;30.32;0
0.904229;30.37;0
0.901968;30.30;0
0.899711;30.27;0
0.897458;30.11;0
0.895207;30.24;0
0.892960;30.39;0
0.890718;30.22;0
0.888477;30.29;0
0.886240;30.49;0
0.884006;30.21;0
0.881775;30.29;0
0.879547;30.18;0
0.877322;30.08;0
0.875101;30.11;0
0.872882;29.96;0
0.870666;30.08;0
0.868452;30.02;0
0.866243;30.02;0
0.864036;30.15;0
0.861831;30.03;0
0.859629;30.26;0
0.857430;30.32;0
0.855235;30.26;0
0.853041;30.30;0
0.850851;30.42;0
0.848663;30.36;0
0.846479;30.42;0
0.844297;30.13;0
0.842117;30.03;0
0.839941;30.05;0
0.837767;30.08;0
0.835596;29.82;0
0.833428;30.00;0
0.831262;29.96;0
0.829100;29.90;0
0.826940;29.74;0
0.824783;29.85;0
0.822629;29.83;0
0.820477;29.87;0
0.818329;29.78;0
0.816183;29.76;0
0.814040;29.83;0
0.811899;29.78;0
0.809762;29.86;0
0.807627;30.11;0
0.805495;30.11;0
0.803366;30.20;0
0.801240;30.05;0
0.799116;30.10;0
0.796996;30.19;0
0.794878;30.05;0
0.792763;30.16;0
0.790651;30.16;0
0.788542;30.21;0
0.786435;30.18;0
0.784332;30.23;0
0.782231;30.16;0
0.780133;30.21;0
0.778038;30.21;0
0.775946;30.19;0
0.773856;30.22;0
0.771770;30.16;0
0.769686;30.17;0
1.343971;30.23;1
1.122655;30.38;1
0.970567;30.53;1
0.854777;30.52;1
0.760640;30.53;1
0.683570;30.61;1
0.622924;30.30;1
0.574690;30.22;1
0.535648;30.11;1
0.504284;30.06;1
0.478827;30.11;1
0.457363;30.03;1
0.438683;30.08;1
0.422053;30.00;1
0.406949;30.19;1
0.393072;30.13;1
0.380290;30.25;1
0.368453;30.09;1
0.357430;30.45;1
0.347101;30.13;1
0.337446;30.57;1
0.328410;30.45;1
0.319942;31.13;1
0.312080;30.74;1
0.304618;31.16;1
0.297677;30.71;1
0.291168;30.94;1
0.285088;30.59;1
0.279342;30.64;1
0.273977;30.61;1
0.268934;30.67;1
0.264157;30.21;1
0.259692;30.14;1
0.255427;30.27;1
0.251403;30.53;1
0.247610;30.26;1
0.244006;30.12;1
0.240554;30.18;1
0.237255;30.10;1
0.234143;30.22;1
0.231109;30.17;1
0.228238;30.26;1
0.225412;30.14;1
0.222767;30.14;1
0.220159;30.14;1
0.217649;30.18;1
0.215213;30.13;1
0.212888;30.11;1
0.210645;30.45;1
0.208419;30.12;1
0.888366;30.30;1
0.722415;30.39;1
0.609040;30.31;1
0.536858;30.38;1
0.491936;30.34;1
0.461341;30.46;1
0.438479;30.36;1
0.420280;30.55;1
0.405095;30.83;1
0.391997;31.01;1
0.380468;30.85;1
0.370229;30.78;1
0.360989;30.08;1
0.352629;30.09;1
0.345015;30.07;1
0.338066;30.06;1
0.331697;29.93;1
0.325817;30.05;1
0.320444;30.11;1
0.315459;30.14;1
0.310901;30.02;1
0.306704;30.09;1
0.302841;30.01;1
0.299292;30.04;1
0.296021;30.06;1
0.292954;30.07;1
0.290131;30.03;1
0.287497;30.14;1
0.285007;30.04;1
0.282693;29.78;1
0.280501;29.91;1
0.278444;30.03;1
0.276487;30.29;1
0.274620;31.78;1
0.272828;31.56;1
0.271136;31.55;1
0.269488;30.80;1
0.267917;31.48;1
0.266411;30.27;1
0.264983;30.03;1
0.263555;30.03;1
0.262198;29.87;1
0.260886;29.90;1
0.259616;30.07;1
0.258388;30.02;1
0.257190;30.10;1
0.256041;30.10;1
0.254911;30.04;1
0.253801;30.07;1
0.252748;29.90;1
0.393466;31.30;2
0.345071;31.48;2
0.317161;31.16;2
0.298220;31.44;2
0.284147;31.09;2
0.273010;31.05;2
0.263806;31.06;2
0.256054;31.30;2
0.249284;31.45;2
0.243373;33.78;2
0.238092;31.93;2
0.233334;31.51;2
0.228992;31.61;2
0.225039;31.55;2
0.221374;31.56;2
0.217964;31.40;2
0.214811;30.68;2
0.211831;31.61;2
0.209045;31.23;2
0.206392;30.98;2
0.203886;30.94;2
0.201544;31.27;2
0.199290;30.96;2
0.197179;30.81;2
0.195139;30.78;2
0.193219;30.83;2
0.191391;30.88;2
0.189592;30.50;2
0.187905;30.42;2
0.186280;30.42;2
0.184726;30.37;2
0.183196;30.50;2
0.181757;30.59;2
0.180355;30.53;2
0.178987;30.36;2
0.177685;31.06;2
0.176404;30.87;2
0.175176;30.98;2
0.173980;30.57;2
0.172825;31.05;2
0.171716;30.44;2
0.170606;31.11;2
0.169543;30.42;2
0.168529;30.95;2
0.167537;30.39;2
0.166556;30.45;2
0.165589;30.53;2
0.164661;32.16;2
0.163749;30.68;2
0.162867;31.84;2
0.381543;31.90;2
0.353862;32.15;2
0.338902;32.58;2
0.328402;32.39;2
0.320266;32.25;2
0.313534;31.39;2
0.307831;30.86;2
0.302811;30.76;2
0.298335;31.41;2
0.294262;30.71;2
0.290551;30.71;2
0.287112;30.62;2
0.283907;30.62;2
0.280926;30.91;2
0.278156;30.49;2
0.275563;30.65;2
0.273108;30.60;2
0.270805;30.58;2
0.268639;30.41;2
0.266569;30.49;2
0.264642;30.59;2
0.262800;30.55;2
0.261022;30.75;2
0.259350;30.72;2
0.257770;30.75;2
0.256230;30.63;2
0.254806;30.67;2
0.253405;30.62;2
0.252052;30.61;2
0.250769;30.49;2
0.249548;30.88;2
0.248354;30.67;2
0.247212;30.51;2
0.246107;30.70;2
0.245056;30.61;2
0.244012;30.59;2
0.243015;30.59;2
0.242047;30.56;2
0.241117;30.52;2
0.240215;30.72;2
0.239335;30.64;2
0.238489;30.56;2
0.237661;30.50;2
0.236865;30.47;2
0.236077;30.54;2
0.235333;30.39;2
0.234585;30.42;2
0.233884;30.55;2
0.233181;30.42;2
0.232492;29.88;2
0.297591;30.62;3
0.228911;30.63;3
0.200057;30.78;3
0.182480;30.74;3
0.169520;30.64;3
0.159206;30.59;3
0.150709;30.59;3
0.143489;30.64;3
0.137259;30.50;3
0.131811;30.40;3
0.126993;30.50;3
0.122731;30.68;3
0.118914;30.34;3
0.115479;30.54;3
0.112385;30.44;3
0.109566;30.62;3
0.107010;30.87;3
0.104698;30.44;3
0.102587;30.46;3
0.100631;30.52;3
0.098841;30.53;3
0.097173;30.53;3
0.095615;30.50;3
0.094161;30.38;3
0.092768;30.44;3
0.091456;30.41;3
0.090212;30.53;3
0.089036;30.84;3
0.087903;30.63;3
0.086813;30.54;3
0.085766;30.75;3
0.084768;30.97;3
0.083800;30.96;3
0.082858;30.83;3
0.081964;30.86;3
0.081084;31.02;3
