old;new
-0.208849;-0.005484
-0.005037;-0.005068
-0.008527;-0.010174
-0.013092;-0.011415
-0.037038;-0.038002
-0.036655;-0.036602
-0.036856;-0.036685
-0.037284;-0.037324
-0.037050;-0.036997
-0.036771;-0.037073
-0.036795;-0.037892
-0.037091;-0.037870
-0.036974;-0.037787
-0.037128;-0.036871
-0.036412;-0.036744
-0.036247;-0.037712
-0.036977;-0.037591
-0.036557;-0.037715
-0.037408;-0.037492
-0.036746;-0.039309
-0.010853;-0.012121
-0.015503;-0.019935
-0.007410;-0.005567
-0.042089;-0.037134
-0.036454;-0.037080
-0.036180;-0.037168
-0.037466;-0.037242
-0.037251;-0.037167
-0.037885;-0.037647
-0.036697;-0.036893
-0.037374;-0.037464
-0.036779;-0.036399
-0.036199;-0.036830
-0.037096;-0.037336
-0.037610;-0.037662
-0.036983;-0.037256
-0.036940;-0.037314
-0.037331;-0.037426
-0.036922;-0.037365
-0.036192;-0.038604
-0.012612;-0.011108
-0.010886;-0.012443
-0.011642;-0.005843
-0.004972;-0.025409
-0.037029;-0.037571
-0.037062;-0.037674
-0.037271;-0.037707
-0.037010;-0.035670
-0.037064;-0.036895
-0.036495;-0.036693
-0.036778;-0.037237
-0.037710;-0.038350
-0.038092;-0.037435
-0.037389;-0.037728
-0.037373;-0.037586
-0.037284;-0.037526
-0.037763;-0.037843
-0.037230;-0.037251
-0.037246;-0.037448
-0.037310;-0.039150
-0.005334;-0.005135
-0.004757;-0.005112
-0.005172;-0.004958
-0.022674;-0.037623
-0.037606;-0.038243
-0.037488;-0.036932
-0.037110;-0.037346
-0.037457;-0.037299
-0.037319;-0.037171
-0.036798;-0.036479
-0.036470;-0.036283
-0.037143;-0.037678
-0.037464;-0.037661
-0.037004;-0.037524
-0.037188;-0.037463
-0.037338;-0.037518
-0.036939;-0.037150
-0.037215;-0.036907
-0.036134;-0.036205
-0.037118;-0.039195
-0.005526;-0.004922
-0.005056;-0.005152
-0.004846;-0.005191
-0.021747;-0.036534
-0.036350;-0.036889
-0.037276;-0.037268
-0.036727;-0.037850
-0.036826;-0.037319
-0.037473;-0.037137
-0.035907;-0.036663
-0.036218;-0.036911
-0.037039;-0.037471
-0.036921;-0.037168
-0.036872;-0.037295
-0.037130;-0.037353
-0.036653;-0.036195
-0.036170;-0.037414
-0.036617;-0.037310
-0.036765;-0.036786
-0.037120;-0.039382
-0.005801;-0.005642
-0.005522;-0.006208
-0.005277;-0.005849
-0.018618;-0.037524
-0.036884;-0.037596
-0.037244;-0.037330
-0.036823;-0.037578
-0.036966;-0.036596
-0.036474;-0.037131
-0.036783;-0.037232
-0.037224;-0.036793
-0.037024;-0.037027
-0.037271;-0.037271
-0.037500;-0.037300
-0.037189;-0.037093
-0.035922;-0.037100
-0.035994;-0.037132
-0.037376;-0.037256
-0.036877;-0.037057
-0.037109;-0.038624
-0.005700;-0.005282
-0.005430;-0.005104
-0.004884;-0.005298
-0.020950;-0.037031
-0.036847;-0.037058
-0.037178;-0.037354
-0.037151;-0.036939
-0.036902;-0.037035
-0.036079;-0.036368
-0.036182;-0.037307
-0.037253;-0.037537
-0.037184;-0.037750
-0.037339;-0.037184
-0.036531;-0.037195
-0.036875;-0.037373
-0.036281;-0.036645
-0.036199;-0.037354
-0.037271;-0.037560
-0.037166;-0.037178
-0.037157;-0.039167
-0.005631;-0.005170
-0.005437;-0.005094
-0.005168;-0.005539
-0.020732;-0.036510
-0.037182;-0.037327
-0.037002;-0.037351
-0.037590;-0.036919
-0.036560;-0.037338
-0.036937;-0.036918
-0.036361;-0.036662
-0.036751;-0.037130
-0.037141;-0.036986
-0.037463;-0.037248
-0.037282;-0.037293
-0.037045;-0.036923
-0.036662;-0.036401
-0.036317;-0.036843
-0.036867;-0.037491
-0.037050;-0.036850
-0.037312;-0.038948
-0.004983;-0.005445
-0.005078;-0.005527
-0.005183;-0.006168
-0.020323;-0.037217
-0.036756;-0.037237
-0.036602;-0.037622
-0.037210;-0.036642
-0.036036;-0.036460
-0.036625;-0.037707
-0.036706;-0.037189
-0.037012;-0.037350
-0.037185;-0.037314
-0.037283;-0.037028
-0.036344;-0.036587
-0.036134;-0.037832
-0.037323;-0.037549
-0.036676;-0.037009
-0.037200;-0.037531
-0.037080;-0.037389
-0.036519;-0.039331
-0.005271;-0.005222
-0.006001;-0.005135
-0.004819;-0.005433
-0.021197;-0.036419
-0.036258;-0.037409
-0.037039;-0.037365
-0.037009;-0.036553
-0.037274;-0.037282
-0.037195;-0.037194
-0.036062;-0.036554
-0.036317;-0.037342
-0.037162;-0.037609
-0.037588;-0.037568
-0.037266;-0.036916
-0.037249;-0.036765
-0.037452;-0.037484
-0.037416;-0.036136
-0.036444;-0.037030
-0.036221;-0.037431
-0.037049;-0.039028
