old;new
-0.011487;-0.009703
-0.009585;-0.009720
-0.010164;-0.037888
-0.090168;-0.090296
-0.090790;-0.090895
-0.090360;-0.090953
-0.090007;-0.090720
-0.089797;-0.090472
-0.089513;-0.090575
-0.089589;-0.093227
-0.089461;-0.089980
-0.089547;-0.090559
-0.089454;-0.090952
-0.089752;-0.090661
-0.089767;-0.091395
-0.090619;-0.090477
-0.090087;-0.090760
-0.089857;-0.090216
-0.089599;-0.089914
-0.090182;-0.095100
-0.010559;-0.009630
-0.009590;-0.009687
-0.010185;-0.037395
-0.090059;-0.090237
-0.090086;-0.090107
-0.089456;-0.090384
-0.090009;-0.090219
-0.092036;-0.090344
-0.089489;-0.089796
-0.089462;-0.090496
-0.090607;-0.090322
-0.089641;-0.090426
-0.089390;-0.091831
-0.090098;-0.090787
-0.089630;-0.090861
-0.089425;-0.090193
-0.089601;-0.090743
-0.089928;-0.092956
-0.090270;-0.090273
-0.089544;-0.094692
-0.010826;-0.009653
-0.009977;-0.009456
-0.009845;-0.037279
-0.089972;-0.090018
-0.089112;-0.089826
-0.091506;-0.090719
-0.089400;-0.090154
-0.089325;-0.096849
-0.087569;-0.089829
-0.088967;-0.089962
-0.089638;-0.092625
-0.089331;-0.090381
-0.089209;-0.089747
-0.089282;-0.090237
-0.089579;-0.090251
-0.089492;-0.091390
-0.090815;-0.089608
-0.089264;-0.090068
-0.089561;-0.090084
-0.089626;-0.094071
-0.010746;-0.009393
-0.009577;-0.009535
-0.009909;-0.037199
-0.091624;-0.089892
-0.089619;-0.090086
-0.089454;-0.089572
-0.089576;-0.089631
-0.089952;-0.090103
-0.091189;-0.090737
-0.089305;-0.089877
-0.088910;-0.090263
-0.089618;-0.089977
-0.089709;-0.090163
-0.089246;-0.092288
-0.088614;-0.089891
-0.088836;-0.089824
-0.089397;-0.090978
-0.089231;-0.090368
-0.089880;-0.090687
-0.090833;-0.094570
