old;new
-0.126569;-0.004008
-0.003703;-0.003868
-0.004350;-0.003979
-0.003709;-0.003610
-0.075682;-0.031729
-0.003793;-0.003898
-0.004076;-0.003940
-0.003829;-0.003695
-0.003889;-0.003569
-0.003591;-0.003729
-0.003743;-0.003577
-0.003878;-0.003889
-0.003700;-0.003529
-0.005197;-0.005886
-0.005757;-0.006395
-0.006008;-0.005908
-0.005858;-0.005023
-0.003970;-0.003741
-0.003882;-0.003875
-0.004022;-0.004208
-0.004206;-0.003958
-0.003681;-0.003618
-0.003890;-0.003754
-0.003630;-0.003707
-0.004003;-0.003794
-0.003564;-0.004063
-0.003717;-0.005968
-0.006705;-0.005816
-0.005857;-0.005760
-0.005725;-0.005727
-0.005583;-0.003760
-0.003547;-0.003512
-0.003843;-0.004180
-0.003780;-0.003976
-0.004042;-0.003875
-0.004195;-0.003885
-0.003491;-0.003514
-0.003945;-0.003743
-0.003588;-0.003551
-0.003865;-0.003543
-0.004201;-0.003976
-0.003769;-0.003660
-0.003858;-0.003755
-0.003755;-0.003580
-0.004024;-0.003786
-0.003577;-0.003555
-0.003947;-0.003965
-0.003609;-0.003999
-0.003798;-0.003556
-0.003520;-0.003949
-0.003714;-0.003560
-0.003574;-0.003708
-0.003550;-0.004049
-0.004087;-0.004011
-0.004380;-0.004632
-0.003660;-0.003622
-0.007223;-0.012171
-0.010460;-0.003884
-0.003821;-0.003703
-0.004124;-0.003685
-0.003966;-0.004321
-0.004033;-0.003721
-0.003709;-0.003714
-0.003883;-0.005512
-0.004010;-0.003608
-0.003623;-0.004027
-0.003551;-0.003481
-0.003779;-0.003756
-0.003532;-0.003533
-0.006420;-0.005504
-0.004394;-0.003770
-0.003582;-0.003787
-0.003694;-0.003692
-0.003572;-0.004053
-0.003667;-0.003600
-0.003972;-0.003750
-0.003531;-0.004288
-0.004378;-0.003661
-0.003549;-0.003784
-0.003685;-0.003563
-0.004633;-0.003710
-0.003808;-0.003667
-0.003644;-0.003748
-0.003977;-0.003630
-0.003766;-0.004116
-0.003751;-0.003620
-0.003658;-0.003632
-0.003541;-0.003477
-0.004218;-0.003672
-0.003517;-0.003683
-0.003748;-0.003504
-0.003548;-0.003835
-0.003633;-0.003573
-0.003587;-0.004056
-0.003752;-0.003731
-0.003936;-0.003730
-0.003541;-0.005996
-0.004052;-0.003710
-0.004027;-0.003790
-0.003504;-0.003525
-0.004783;-0.004318
-0.004079;-0.004337
-0.004408;-0.003884
-0.004438;-0.004630
-0.004382;-0.009890
-0.004754;-0.005243
-0.004534;-0.004110
-0.004292;-0.004440
-0.005011;-0.006633
-0.010001;-0.006284
-0.005317;-0.004434
-0.004949;-0.005105
-0.004433;-0.004284
-0.004496;-0.004661
-0.004488;-0.004966
-0.004486;-0.006416
-0.005905;-0.005738
-0.004563;-0.004222
-0.005949;-0.006413
-0.006027;-0.004485
-0.004432;-0.003648
-0.003497;-0.003887
-0.003831;-0.003622
-0.003580;-0.003874
-0.003745;-0.003558
-0.003610;-0.003942
-0.003600;-0.003586
-0.003987;-0.003850
-0.003806;-0.003704
-0.003868;-0.004571
-0.005723;-0.005641
-0.005690;-0.003730
-0.003636;-0.003512
-0.003610;-0.003721
-0.003500;-0.003433
-0.004257;-0.003728
-0.003726;-0.003846
-0.003845;-0.003558
-0.003517;-0.004016
-0.003607;-0.003472
-0.003888;-0.003884
-0.003778;-0.003636
-0.003489;-0.003652
-0.003812;-0.003596
-0.003488;-0.003970
-0.003776;-0.003527
-0.003503;-0.004088
-0.004084;-0.003901
-0.004410;-0.003989
-0.003831;-0.004520
-0.003802;-0.003622
-0.003544;-0.004232
-0.003667;-0.003701
-0.003825;-0.003631
-0.003608;-0.003680
-0.003853;-0.003560
-0.003474;-0.004107
-0.003672;-0.003552
-0.003660;-0.004190
-0.003721;-0.003568
-0.004023;-0.005522
-0.005658;-0.004979
-0.003717;-0.003702
-0.003740;-0.004071
-0.003620;-0.003624
-0.003959;-0.003737
-0.003489;-0.003519
-0.003890;-0.003649
-0.003466;-0.003672
-0.003813;-0.004754
-0.004193;-0.003778
-0.004156;-0.003859
-0.003806;-0.003608
-0.003604;-0.003770
-0.003623;-0.003522
-0.003580;-0.003876
-0.003561;-0.003514
-0.004371;-0.003958
-0.003603;-0.003863
-0.003683;-0.003593
-0.003906;-0.003623
-0.004057;-0.003836
-0.003692;-0.003871
-0.003904;-0.003639
-0.003666;-0.004034
-0.003676;-0.003482
-0.003754;-0.003806
-0.003655;-0.003525
-0.003553;-0.003658
-0.003784;-0.003789
-0.003944;-0.003744
-0.003712;-0.003934
-0.003822;-0.003619
-0.003704;-0.003854
-0.003675;-0.003568
-0.003899;-0.003850
-0.003689;-0.003873
-0.003797;-0.003494
-0.003548;-0.011029
-0.010612;-0.003832
