old;new
-0.005833;-0.005692
-0.005460;-0.005615
-0.005507;-0.005399
-0.005648;-0.097945
-0.067942;-0.007536
-0.008075;-0.008060
-0.007379;-0.007953
-0.007374;-0.008081
-0.007848;-0.007533
-0.008244;-0.007525
-0.008501;-0.008402
-0.007174;-0.008096
-0.007433;-0.008049
-0.007873;-0.007513
-0.007966;-0.007514
-0.007843;-0.007795
-0.007078;-0.007686
-0.007110;-0.008005
-0.007130;-0.007770
-0.007469;-0.007474
-0.004276;-0.003931
-0.003656;-0.003730
-0.004283;-0.003814
-0.003761;-0.003877
-0.003853;-0.003794
-0.003756;-0.003942
-0.003792;-0.003737
-0.003912;-0.006590
-0.007872;-0.007270
-0.008007;-0.007721
-0.007137;-0.007794
-0.007147;-0.009074
-0.014672;-0.014720
-0.013053;-0.013425
-0.014459;-0.013377
-0.013744;-0.009289
-0.004331;-0.004019
-0.003757;-0.005962
-0.006119;-0.005056
-0.003865;-0.003696
-0.003955;-0.004149
-0.004106;-0.003815
-0.003959;-0.004972
-0.005482;-0.005840
-0.005836;-0.005885
-0.005899;-0.005913
-0.005758;-0.005875
-0.006000;-0.005443
-0.005833;-0.005642
-0.005586;-0.003824
-0.003538;-0.003822
-0.007455;-0.007987
-0.007132;-0.008035
-0.007091;-0.007456
-0.007299;-0.007246
-0.007448;-0.007257
-0.007924;-0.007199
-0.007564;-0.007826
-0.007556;-0.007923
-0.007097;-0.008137
-0.004184;-0.004013
-0.003775;-0.003860
-0.003649;-0.004039
-0.004132;-0.003625
-0.003565;-0.003888
-0.003799;-0.003568
-0.003719;-0.004054
-0.003750;-0.006977
-0.007154;-0.007609
-0.007216;-0.007540
-0.007149;-0.007556
-0.007427;-0.007236
-0.007561;-0.007210
-0.007465;-0.007239
-0.007953;-0.007949
-0.007080;-0.007610
-0.007094;-0.007939
-0.007095;-0.007663
-0.007546;-0.007232
-0.007454;-0.007185
