loss;elapsed_time;iteration
0.096494;35.32;0
0.059321;34.52;0
0.036507;34.53;0
0.025673;34.52;0
0.018488;34.52;0
0.013841;34.60;0
0.010819;34.60;0
0.008771;34.54;0
0.007329;34.49;0
0.006280;34.46;0
0.005491;34.47;0
0.004883;34.46;0
0.004403;34.49;0
0.004015;34.49;0
0.003700;34.49;0
0.003441;34.46;0
0.003227;34.47;0
0.003049;34.50;0
0.002900;34.46;0
0.002775;34.46;0
0.002670;34.49;0
0.002581;34.46;0
0.002505;34.47;0
0.002439;34.47;0
0.002383;34.50;0
0.002334;34.46;0
0.002292;34.47;0
0.002256;34.47;0
0.002224;34.47;0
0.002197;34.49;0
0.002173;34.46;0
0.002152;34.48;0
0.002133;34.47;0
0.002117;34.47;0
0.002103;34.47;0
0.002090;34.50;0
0.002079;34.47;0
0.002069;34.48;0
0.002060;34.47;0
0.002053;34.48;0
0.002046;34.49;0
0.002040;34.47;0
0.002035;34.47;0
0.002030;34.47;0
0.002026;34.49;0
0.002022;34.47;0
0.002019;34.49;0
0.002016;34.52;0
0.002014;34.48;0
0.002012;34.48;0
0.002010;34.36;0
0.002008;34.27;0
0.002006;34.25;0
0.002005;34.27;0
0.002004;34.27;0
0.002003;34.27;0
0.002002;34.27;0
0.002001;34.27;0
0.002000;34.26;0
0.001999;34.26;0
0.001999;34.26;0
0.001998;34.27;0
0.001998;34.27;0
0.001997;34.27;0
0.001997;34.27;0
0.001996;34.26;0
0.001996;34.28;0
0.001996;34.25;0
0.001995;34.31;0
0.001995;34.29;0
0.001995;34.29;0
0.001994;34.30;0
0.001994;34.30;0
0.001994;34.29;0
0.001994;34.29;0
0.001993;34.29;0
0.001993;34.29;0
0.001993;34.30;0
0.001993;34.29;0
0.001992;34.31;0
0.001992;34.30;0
0.001992;34.29;0
0.001992;34.29;0
0.001991;34.29;0
0.001991;34.29;0
0.001991;34.29;0
0.001991;34.30;0
0.001990;34.31;0
0.001990;34.29;0
0.001990;34.30;0
0.001990;34.31;0
0.001989;34.30;0
0.001989;34.29;0
0.001989;34.30;0
0.001989;34.29;0
0.001989;34.29;0
0.001988;34.29;0
0.001988;34.29;0
0.001988;34.31;0
0.001988;34.29;0
0.136243;34.45;1
0.109672;34.26;1
0.100993;34.25;1
0.093921;34.26;1
0.086915;34.25;1
0.079603;34.25;1
0.072048;34.30;1
0.064418;34.29;1
0.056894;34.29;1
0.049663;34.29;1
0.042963;34.30;1
0.036729;34.29;1
0.030766;34.30;1
0.025534;34.30;1
0.021365;34.29;1
0.018158;34.29;1
0.015686;34.29;1
0.013711;34.30;1
0.012084;34.29;1
0.010710;34.29;1
0.009539;34.29;1
0.008535;34.31;1
0.007671;34.30;1
0.006928;34.29;1
0.006289;34.29;1
0.005742;34.29;1
0.005271;34.29;1
0.004865;34.29;1
0.004513;34.74;1
0.004208;35.07;1
0.003944;35.03;1
0.003715;34.52;1
0.003516;34.51;1
0.003341;34.54;1
0.003188;34.51;1
0.003054;34.52;1
0.002935;34.51;1
0.002830;34.51;1
0.002737;34.54;1
0.002655;34.52;1
0.002583;34.51;1
0.002519;34.52;1
0.002463;34.51;1
0.002413;34.54;1
0.002368;34.51;1
0.002328;34.51;1
0.002293;34.52;1
0.002262;34.51;1
0.002234;34.51;1
0.002209;34.54;1
0.002163;34.71;1
0.002160;34.51;1
0.002158;34.52;1
0.002157;34.53;1
0.002155;34.50;1
0.002154;34.51;1
0.002153;34.50;1
0.002152;34.50;1
0.002151;34.53;1
0.002150;34.51;1
0.002149;34.50;1
0.002148;34.50;1
0.002148;34.51;1
0.002147;34.53;1
0.002146;34.51;1
0.002145;34.50;1
0.002145;34.51;1
0.002144;34.51;1
0.002143;34.52;1
0.002142;34.51;1
0.002142;34.51;1
0.002141;34.51;1
0.002140;34.54;1
0.002140;34.31;1
0.002139;34.29;1
0.002139;34.29;1
0.002138;34.29;1
0.002137;34.29;1
0.002137;34.29;1
0.002136;34.30;1
0.002136;34.29;1
0.002135;34.29;1
0.002135;34.29;1
0.002134;34.28;1
0.002134;34.29;1
0.002133;34.29;1
0.002133;34.29;1
0.002132;34.29;1
0.002131;34.29;1
0.002131;34.29;1
0.002130;34.29;1
0.002130;34.29;1
0.002129;34.29;1
0.002129;34.30;1
0.002129;34.29;1
0.002128;34.30;1
0.002128;34.29;1
0.002127;34.29;1
0.002127;34.29;1
0.002126;34.29;1
0.002170;34.46;2
