loss;elapsed time;iteration
0.215144;159.89;0
0.151609;160.81;0
0.115519;157.71;0
0.092563;161.41;0
0.075427;155.21;0
0.062579;155.71;0
0.053715;155.52;0
0.047022;155.49;0
0.041430;154.47;0
0.036946;155.65;0
0.033218;154.98;0
0.030029;156.48;0
0.027328;154.40;0
0.024990;155.26;0
0.022907;153.97;0
0.021022;156.08;0
0.019265;156.99;0
0.017649;155.45;0
0.016164;157.04;0
0.014835;154.79;0
0.013626;156.28;0
0.012518;155.61;0
0.011499;155.93;0
0.010563;158.13;0
0.009749;159.34;0
0.009047;159.37;0
0.008418;159.56;0
0.007830;156.51;0
0.007290;156.50;0
0.006791;157.54;0
0.006332;158.37;0
0.005911;155.75;0
0.005519;166.84;0
0.005153;162.30;0
0.004822;169.04;0
0.004516;169.61;0
0.004236;170.28;0
0.003982;172.50;0
0.003754;172.21;0
0.003552;172.19;0
0.003374;167.27;0
0.003218;166.84;0
0.003081;163.03;0
0.002960;159.21;0
0.002853;158.37;0
0.002758;164.24;0
0.002672;159.76;0
0.002596;162.76;0
0.002529;163.02;0
0.002469;168.60;0
0.002416;165.78;0
0.002369;161.92;0
0.002327;163.00;0
0.002290;160.88;0
0.002256;161.59;0
0.002226;160.75;0
0.002199;160.02;0
0.002176;159.90;0
0.002155;160.01;0
0.002137;158.24;0
0.002120;159.60;0
0.002106;157.45;0
0.002093;155.97;0
0.002082;155.92;0
0.002072;155.95;0
0.002063;158.03;0
0.002055;157.32;0
0.002048;156.07;0
0.002042;157.01;0
0.002037;156.83;0
0.002032;155.92;0
0.002028;156.67;0
0.002024;156.13;0
0.002021;155.17;0
0.002018;154.83;0
0.002016;155.16;0
0.002014;156.17;0
0.002012;155.06;0
0.002010;155.09;0
0.002009;155.37;0
0.002008;156.77;0
0.002007;155.60;0
0.002006;155.02;0
0.002005;155.79;0
0.002004;156.33;0
0.002003;154.01;0
0.002003;153.72;0
0.002002;156.16;0
0.002002;156.79;0
0.002001;158.16;0
0.002001;155.08;0
0.002000;155.28;0
0.002000;154.44;0
0.002000;155.35;0
0.001999;155.78;0
0.001999;154.95;0
0.001999;155.55;0
0.001999;154.25;0
0.001998;155.20;0
0.001998;154.09;0
0.067953;153.68;1
0.037704;152.07;1
0.025132;152.74;1
0.019054;152.84;1
0.014775;153.10;1
0.011926;155.50;1
0.010047;155.59;1
0.008852;154.13;1
0.007896;154.73;1
0.007148;154.59;1
0.006513;153.91;1
0.005984;155.20;1
0.005588;154.33;1
0.005264;155.26;1
0.004962;155.37;1
0.004709;155.97;1
0.004497;155.39;1
0.004302;156.82;1
0.004124;156.42;1
0.003947;155.15;1
0.003806;156.13;1
0.003669;153.37;1
0.003534;154.76;1
0.003414;155.68;1
0.003300;153.97;1
0.003198;154.43;1
0.003110;154.86;1
0.003014;154.30;1
0.002933;155.38;1
0.002857;155.40;1
0.002778;157.39;1
0.002699;155.88;1
0.002631;155.43;1
0.002556;155.86;1
0.002484;156.38;1
0.002429;155.92;1
0.002370;156.83;1
0.002330;155.62;1
0.002289;157.11;1
0.002253;156.70;1
0.002228;156.42;1
0.002205;156.79;1
0.002185;153.13;1
0.002165;155.16;1
0.002146;154.75;1
0.002133;155.48;1
0.002120;154.57;1
0.002109;155.72;1
0.002098;155.25;1
0.002092;154.57;1
0.002071;152.96;1
0.002070;152.71;1
0.002069;154.14;1
0.002069;154.64;1
0.002069;154.62;1
0.002068;156.14;1
0.002068;154.99;1
0.002068;154.82;1
0.002068;154.04;1
0.002067;154.11;1
0.002067;153.86;1
0.002067;158.95;1
0.002067;162.80;1
0.002067;159.78;1
0.002067;154.08;1
0.002066;153.01;1
0.002066;154.81;1
0.002066;154.10;1
0.002066;155.12;1
0.002066;154.47;1
0.002066;154.81;1
0.002065;155.99;1
0.002065;155.54;1
0.002065;155.36;1
0.002065;155.60;1
0.002065;155.32;1
0.002065;155.33;1
0.002065;155.77;1
0.002065;155.02;1
0.002064;155.88;1
0.002064;154.85;1
0.002064;153.88;1
0.002064;155.26;1
0.002064;154.63;1
0.002064;156.07;1
0.002064;156.77;1
0.002064;156.25;1
0.002064;156.23;1
0.002064;155.46;1
0.002063;155.75;1
0.002063;155.23;1
0.002063;154.31;1
0.002063;155.46;1
0.002063;156.06;1
0.002063;155.68;1
0.002063;156.30;1
0.002063;155.70;1
0.002063;154.13;1
0.002063;156.05;1
0.002062;156.90;1
0.002056;155.65;2
0.002051;154.58;2
0.002047;154.12;2
0.002042;155.00;2
0.002039;154.66;2
0.002036;155.18;2
0.002033;154.82;2
0.002031;154.32;2
0.002029;154.74;2
0.002026;154.95;2
0.002025;155.77;2
0.002024;154.79;2
0.002022;156.07;2
0.002021;155.00;2
0.002020;154.99;2
0.002019;156.14;2
0.002018;154.87;2
0.002018;155.74;2
0.002017;154.59;2
0.002016;154.56;2
0.002016;154.01;2
0.002015;154.31;2
0.002015;155.31;2
0.002015;155.45;2
0.002014;154.38;2
0.002014;154.20;2
0.002013;153.34;2
0.002013;154.30;2
0.002012;154.06;2
0.002012;154.05;2
0.002012;154.94;2
0.002012;154.25;2
0.002011;155.65;2
0.002011;156.00;2
0.002011;157.36;2
0.002011;155.09;2
0.002010;155.06;2
0.002010;154.77;2
0.002010;154.70;2
0.002010;155.12;2
0.002010;154.91;2
0.002010;154.32;2
0.002010;154.16;2
0.002009;155.23;2
0.002009;154.53;2
0.002009;156.98;2
0.002009;154.87;2
0.002009;154.59;2
0.002009;154.97;2
0.002009;154.85;2
0.001994;153.81;2
0.001994;153.84;2
0.001994;153.60;2
0.001994;153.98;2
0.001994;155.48;2
0.001994;154.24;2
0.001994;153.73;2
0.001994;154.41;2
0.001994;154.01;2
0.001993;155.02;2
0.001993;154.97;2
0.001993;154.90;2
0.001993;153.89;2
0.001993;155.04;2
0.001993;153.96;2
0.001993;155.15;2
0.001993;155.96;2
0.001993;155.15;2
0.001993;156.76;2
0.001993;157.43;2
0.001993;154.12;2
0.001993;155.39;2
0.001993;156.67;2
0.001992;155.65;2
0.001992;156.37;2
0.001992;156.25;2
0.001992;154.27;2
0.001992;154.73;2
0.001992;155.43;2
0.001992;155.41;2
0.001992;155.73;2
0.001992;155.53;2
0.001992;154.81;2
0.001992;153.97;2
0.001992;154.35;2
0.001992;154.55;2
0.001992;156.27;2
0.001992;156.24;2
0.001991;154.56;2
0.001991;155.96;2
0.001991;155.55;2
0.001991;156.46;2
0.001991;154.60;2
0.001991;155.88;2
0.001991;155.05;2
0.001991;155.47;2
0.001991;155.35;2
0.001991;154.16;2
0.001991;155.30;2
0.001991;155.65;2
0.002012;154.19;3
0.002011;154.91;3
0.002011;154.96;3
0.002011;156.26;3
0.002011;154.44;3
0.002011;154.46;3
