loss;elapsed_time;iteration
0.068470;31.91;0
0.021771;30.96;0
0.009544;30.80;0
0.007402;30.94;0
0.006428;30.85;0
0.005848;30.79;0
0.005407;30.92;0
0.005025;30.75;0
0.004683;31.04;0
0.004377;30.92;0
0.004106;31.21;0
0.003869;30.50;0
0.003663;30.50;0
0.003486;30.33;0
0.003337;30.37;0
0.003211;30.58;0
0.003105;30.68;0
0.003014;30.33;0
0.002935;29.94;0
0.002866;29.91;0
0.002804;29.69;0
0.002748;29.40;0
0.002698;29.16;0
0.002652;29.02;0
0.002610;29.00;0
0.002572;29.04;0
0.002536;28.85;0
0.002503;29.09;0
0.002472;28.97;0
0.002444;29.01;0
0.002417;29.06;0
0.002391;29.10;0
0.002367;29.01;0
0.002345;29.03;0
0.002324;29.28;0
0.002303;29.26;0
0.002284;29.32;0
0.002267;29.26;0
0.002250;29.26;0
0.002234;29.33;0
0.002219;29.23;0
0.002204;29.26;0
0.002191;29.29;0
0.002179;29.39;0
0.002167;29.38;0
0.002156;29.77;0
0.002145;29.36;0
0.002135;29.91;0
0.002126;29.36;0
0.002117;29.95;0
0.002109;29.35;0
0.002101;29.95;0
0.002093;29.22;0
0.002086;29.87;0
0.002080;29.38;0
0.002074;29.42;0
0.002068;29.46;0
0.002062;29.23;0
0.002057;28.85;0
0.002052;28.95;0
0.002047;29.06;0
0.002042;29.04;0
0.002038;28.96;0
0.002034;28.97;0
0.002030;28.95;0
0.002026;29.31;0
0.002023;29.01;0
0.002020;29.28;0
0.002017;28.98;0
0.002014;29.41;0
0.002012;29.19;0
0.002010;29.17;0
0.002008;29.28;0
0.002006;29.28;0
0.002004;29.24;0
0.002003;29.80;0
0.002001;29.35;0
0.002000;29.19;0
0.001998;29.38;0
0.001997;29.22;0
0.001996;29.30;0
0.001995;29.27;0
0.001994;29.24;0
0.001992;29.30;0
0.001991;29.27;0
0.001990;29.18;0
0.001990;29.26;0
0.001989;29.21;0
0.001988;29.21;0
0.001987;29.19;0
0.001986;29.39;0
0.001986;29.18;0
0.001985;29.34;0
0.001984;29.37;0
0.001984;29.39;0
0.001983;29.43;0
0.001983;29.47;0
0.001982;29.42;0
0.001981;29.26;0
0.001981;29.23;0
0.015120;29.90;1
0.007887;30.13;1
