loss;elapsed_time;iteration
0.002018;29.41;0
0.002009;28.21;0
0.002004;28.21;0
0.002003;28.09;0
0.002001;28.60;0
0.002000;28.36;0
0.002000;29.70;0
0.001999;29.65;0
0.001999;28.58;0
0.001998;28.60;0
0.001998;28.35;0
0.001997;28.27;0
0.001997;28.06;0
0.001996;28.24;0
0.001996;28.08;0
0.001995;28.13;0
0.001994;28.12;0
0.001992;28.01;0
0.001990;27.39;0
0.001988;27.39;0
0.001985;28.02;0
0.001981;28.00;0
0.001977;27.83;0
0.001973;27.77;0
0.001970;28.31;0
0.001967;26.89;0
0.001965;26.91;0
0.001963;28.09;0
0.001961;29.08;0
0.001959;28.70;0
0.001957;28.57;0
0.001956;28.58;0
0.001954;28.44;0
0.001953;27.76;0
0.001951;27.57;0
0.001950;27.33;0
0.001948;27.08;0
0.001947;28.09;0
0.001946;27.50;0
0.001945;27.01;0
0.001944;27.58;0
0.001943;30.39;0
0.001943;27.39;0
0.001942;27.23;0
0.001941;27.10;0
0.001941;27.65;0
0.001940;28.01;0
0.001939;27.43;0
0.001939;27.24;0
0.001938;29.27;0
0.001938;28.21;0
0.001937;27.54;0
0.001937;27.65;0
0.001936;27.48;0
0.001936;27.67;0
0.001936;27.45;0
0.001935;27.73;0
0.001935;27.31;0
0.001934;27.37;0
0.001934;27.80;0
0.001933;27.51;0
0.001933;27.41;0
0.001933;27.26;0
0.001932;27.07;0
0.001932;27.06;0
0.001931;27.77;0
0.001930;28.04;0
0.001929;27.32;0
0.001927;27.37;0
0.001924;28.81;0
0.001921;28.46;0
0.001917;27.91;0
0.001915;28.78;0
0.001913;27.28;0
0.001911;26.94;0
0.001909;27.11;0
0.001908;26.98;0
0.001906;27.13;0
0.001905;27.02;0
0.001904;27.60;0
0.001903;27.47;0
0.001902;27.67;0
0.001901;30.79;0
0.001901;28.23;0
0.001900;27.77;0
0.001899;28.35;0
0.001898;27.80;0
0.001898;28.57;0
0.001897;27.86;0
0.001897;27.73;0
0.001896;27.90;0
0.001895;28.13;0
0.001895;28.03;0
0.001894;28.19;0
0.001894;28.15;0
0.001893;27.96;0
0.001893;27.61;0
0.001893;27.44;0
0.001892;27.87;0
0.001892;28.63;0
0.002065;28.01;1
0.002060;28.10;1
0.002057;27.69;1
0.002055;27.75;1
0.002053;28.06;1
0.002052;27.75;1
0.002052;27.88;1
0.002051;27.99;1
0.002051;27.74;1
0.002050;27.89;1
0.002050;27.99;1
0.002050;28.47;1
0.002049;29.31;1
0.002049;27.73;1
0.002049;28.14;1
0.002048;28.11;1
0.002048;27.87;1
0.002048;27.81;1
0.002048;27.89;1
0.002047;27.91;1
0.002047;27.86;1
0.002047;27.85;1
0.002047;28.00;1
0.002047;28.38;1
0.002047;27.82;1
0.002047;28.00;1
0.002046;27.75;1
0.002046;27.94;1
0.002046;28.02;1
0.002046;27.88;1
0.002046;27.83;1
0.002046;27.99;1
0.002045;27.87;1
0.002045;27.88;1
0.002045;27.96;1
0.002045;28.21;1
0.002045;28.01;1
0.002044;27.96;1
0.002044;28.03;1
0.002044;27.71;1
0.002043;27.23;1
0.002043;27.37;1
0.002042;29.05;1
0.002042;28.11;1
0.002041;27.69;1
0.002041;28.14;1
0.002040;27.61;1
0.002040;27.43;1
0.002039;27.36;1
0.002039;29.02;1
0.001897;28.33;1
0.001897;28.04;1
0.001896;28.06;1
0.001896;28.13;1
0.001895;28.13;1
0.001895;28.14;1
0.001895;28.14;1
0.001894;28.18;1
0.001894;28.09;1
0.001894;28.06;1
0.001894;28.27;1
0.001893;28.21;1
0.001893;28.39;1
0.001893;27.77;1
0.001892;27.60;1
0.001892;27.57;1
0.001892;27.58;1
0.001892;27.53;1
0.001892;27.62;1
0.001891;28.14;1
0.001891;27.61;1
0.001891;27.71;1
0.001891;28.76;1
0.001890;28.83;1
0.001890;28.60;1
0.001890;27.66;1
0.001890;27.58;1
0.001890;27.55;1
0.001889;27.65;1
0.001889;27.64;1
0.001889;27.87;1
0.001889;28.18;1
0.001889;27.83;1
0.001889;27.95;1
0.001888;27.87;1
0.001888;27.68;1
0.001888;27.87;1
0.001888;28.04;1
0.001888;27.80;1
0.001888;27.70;1
0.001887;27.54;1
0.001887;27.44;1
0.001887;27.65;1
0.001887;27.45;1
0.001887;27.63;1
0.001887;27.44;1
0.001886;27.53;1
0.001886;27.46;1
0.001886;27.71;1
0.001886;27.57;1
0.002093;27.46;2
0.002091;27.37;2
0.002090;27.55;2
0.002089;28.32;2
0.002088;27.67;2
0.002087;27.63;2
0.002086;27.45;2
0.002085;27.40;2
0.002084;27.60;2
0.002084;27.46;2
0.002083;27.48;2
0.002082;27.59;2
0.002082;28.87;2
0.002081;29.52;2
0.002081;28.17;2
0.002080;29.66;2
0.002080;28.43;2
0.002079;28.63;2
0.002079;28.27;2
0.002079;28.49;2
0.002078;28.06;2
0.002078;27.58;2
0.002078;28.04;2
0.002077;27.51;2
0.002077;27.48;2
0.002077;29.04;2
0.002076;29.35;2
0.002076;29.22;2
0.002076;29.49;2
0.002075;29.13;2
0.002075;29.16;2
0.002075;29.07;2
0.002074;29.14;2
0.002074;29.20;2
0.002074;28.96;2
0.002073;28.30;2
0.002073;28.34;2
0.002073;28.76;2
0.002072;28.30;2
0.002072;28.38;2
0.002071;28.27;2
